ww_tp,unit,country,year,value
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2013,72.68
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2014,73.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2015,76.47
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2016,78.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2017,79.12
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2018,80.36
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2019,80.26
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2020,80.91
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2021,81.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2022,81.73
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2001,29.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2007,59.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2008,64.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2009,71.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2010,64.58
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2011,58.16
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2012,58.78
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2013,59.38
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2014,59.98
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2015,60.56
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2016,61.15
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2017,61.98
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2018,62.66
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2019,63.09
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2020,63.63
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2021,64.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,2022,64.72
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Iceland,2000,0.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Iceland,2001,0.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Iceland,2002,1.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Iceland,2003,1.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Iceland,2004,1.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Iceland,2005,2.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Iceland,2008,2.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Iceland,2010,1.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Italy,2005,54.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Italy,2006,55.27
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Italy,2007,56.43
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Italy,2008,57.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Italy,2009,57.55
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Italy,2010,57.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Italy,2011,57.55
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Italy,2012,57.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Italy,2013,58.27
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Italy,2014,58.93
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Italy,2015,59.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2005,47.47
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2006,52.02
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2007,53.86
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2008,56.09
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2009,58.51
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2010,63.69
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2011,65.07
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2012,63.06
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2013,64.26
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2014,69.39
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2015,72.28
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2016,73.53
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2017,73.78
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2018,75.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2019,76.55
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2020,76.58
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2021,76.94
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Lithuania,2022,76.03
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Luxembourg,2003,88.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Luxembourg,2016,96.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Luxembourg,2017,97.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2000,52.52
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2001,49.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2002,51.13
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2003,55.13
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2004,62.66
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2005,62.52
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2006,62.45
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2007,62.23
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2008,55.05
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2009,60.05
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2010,58.88
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2011,67.37
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2012,67.59
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2013,69.09
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2014,71.22
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2015,73.37
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2016,72.17
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2017,77.14
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2018,75.44
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2019,77.52
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2020,76.97
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2021,76.48
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Latvia,2022,77.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2000,11.24
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2001,11.46
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2002,12.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2003,13.16
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2004,10.85
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2005,13.23
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2006,9.26
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2007,8.41
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2008,14.61
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2009,21.05
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2010,7.45
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2011,0.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2012,0.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2013,0.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2014,0.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2015,0.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2016,0.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2017,6.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2018,0.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2019,0.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2020,6.54
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2021,7.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,2022,7.41
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2000,98.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2001,98.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2002,98.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2003,98.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2004,98.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2005,99.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2006,99.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2007,99.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2008,99.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2009,99.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2010,99.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2011,99.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2012,99.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2013,99.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2014,99.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2015,99.43
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2016,99.45
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2017,99.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2018,99.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2019,99.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2020,99.55
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2021,99.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,2022,99.65
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2007,47.99
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2008,47.91
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2009,48.14
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2010,48.31
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2011,48.92
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2012,49.55
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2013,49.75
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2014,49.87
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2015,50.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2016,55.71
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2017,58.58
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2018,66.86
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2019,66.15
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2020,67.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2021,67.88
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,2022,70.93
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2000,50.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2001,52.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2002,54.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2003,55.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2004,56.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2005,58.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2006,60.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2007,61.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2008,62.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2009,64.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2010,64.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2011,65.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2012,68.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2013,70.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2014,71.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2015,72.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2016,73.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2017,73.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2018,74.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2019,74.44
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2020,74.78
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2021,75.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,2022,75.68
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Portugal,2002,27.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Portugal,2003,32.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Portugal,2004,37.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Portugal,2005,42.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Portugal,2006,37.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Portugal,2007,51.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Portugal,2008,52.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Portugal,2009,55.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2004,16.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2005,16.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2010,22.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2011,31.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2012,35.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2013,36.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2014,38.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2015,39.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2016,43.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2017,46.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2018,48.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2019,49.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2020,51.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2021,52.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,2022,53.94
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2000,4.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2001,4.79
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2002,5.11
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2003,5.47
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2004,5.79
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2005,6.37
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2006,6.84
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2007,6.73
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2008,7.15
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2009,8.44
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2010,8.63
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2011,8.81
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2012,8.98
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2013,9.39
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2014,9.98
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2015,10.82
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2016,12.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2017,12.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2018,12.87
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2019,13.14
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2020,13.77
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2021,14.67
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,2022,15.16
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2000,94.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2001,94.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2002,93.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2003,94.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2004,94.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2005,94.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2006,94.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2007,94.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2008,94.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2009,94.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2010,94.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2011,94.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2012,95.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2013,95.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2014,95.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2015,95.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2016,95.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2017,95.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2018,96.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2019,96.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2020,96.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,2021,96.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2000,12.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2001,15.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2002,18.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2003,19.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2004,29.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2005,32.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2006,47.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2007,48.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2008,51.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2009,52.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2010,51.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2011,54.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2012,53.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2013,55.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2014,55.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2015,57.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2016,63.22
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2017,67.61
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2018,68.95
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2019,69.52
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2020,69.32
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2021,67.61
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,2022,68.45
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovakia,2016,63.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovakia,2017,65.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovakia,2018,65.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovakia,2019,68.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovakia,2020,68.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovakia,2021,69.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovakia,2022,70.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2000,18.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2001,19.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2002,19.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2003,21.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2004,24.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2005,28.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2006,29.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2007,31.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2008,31.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2009,35.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2010,37.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2011,39.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2012,42.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2013,45.53
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2014,49.05
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2015,55.41
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2016,56.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2017,60.48
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2018,60.79
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2019,61.03
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2020,61.12
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2021,60.75
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,2022,61.18
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2000,91.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2001,98.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2002,99.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2003,99.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2004,99.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2005,99.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2008,96.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2009,97.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2010,99.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2011,98.95
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2012,99.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2013,99.65
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,2014,100.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Kosovo*,2011,0.55
