waste,hazard,nace_r2,unit,country,year,value
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2006,0
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2008,14
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2010,44
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2012,53
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2014,44
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2016,70
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2018,183
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2020,368
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2022,318
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2004,133
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2006,139
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2008,118
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2010,84
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2012,91
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2014,87
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2016,92
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2018,93
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Kosovo*,2012,1
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Kosovo*,2014,0
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Kosovo*,2016,0
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Kosovo*,2018,145
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Kosovo*,2020,0
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Albania,2022,245
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Austria,2004,6488
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Austria,2006,6565
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Austria,2008,6767
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Austria,2010,5596
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Austria,2012,5699
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Austria,2014,6537
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Austria,2016,7008
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Austria,2018,7428
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Austria,2020,7728
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Austria,2022,8079
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2012,1161
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2014,1447
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2016,1744
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2018,1930
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2022,1797
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Belgium,2004,5068
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Belgium,2006,5627
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Belgium,2008,4540
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Belgium,2010,5630
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Belgium,2012,4847
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Belgium,2014,5171
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Belgium,2016,5573
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Belgium,2018,5967
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Belgium,2020,5899
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Belgium,2022,5363
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bulgaria,2004,26050
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bulgaria,2006,21429
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bulgaria,2008,22375
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bulgaria,2010,22635
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bulgaria,2012,22072
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bulgaria,2014,24872
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bulgaria,2016,16907
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bulgaria,2018,18470
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bulgaria,2020,16785
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bulgaria,2022,14603
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2004,3079
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2006,1663
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2008,2343
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2010,2861
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2012,2171
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2014,2321
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2016,2897
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2018,2646
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2020,2491
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2022,3294
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2004,2871
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2006,2417
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2008,2448
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2010,2268
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2012,2205
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2014,2223
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2016,2402
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2018,3560
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2020,3598
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2022,3672
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2004,4412
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2006,4416
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2008,4540
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2010,4446
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2012,4576
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2014,4785
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2016,4858
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2018,4891
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2020,4824
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2022,4604
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2004,2329
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2006,2704
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2008,2759
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2010,2923
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2012,2989
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2014,3687
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2016,3663
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2018,3702
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2020,3453
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2022,3333
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2004,15310
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2006,14058
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2008,14647
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2010,14270
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2012,16627
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2014,16587
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2016,18451
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2018,17539
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2020,12163
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2022,16752
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2004,3044
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2006,4657
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2008,6197
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2010,6333
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2012,6549
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2014,6404
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2016,6712
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2018,4215
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2020,2651
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2022,2858
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2004,3743
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2006,3625
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2008,3248
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2010,2953
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2012,2535
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2014,2378
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2016,2774
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2018,2945
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2020,2230
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2022,2480
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2004,5186
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2006,5214
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2008,4881
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2010,5017
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2012,5086
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2014,5062
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2016,5074
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2018,5235
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2020,4817
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2022,4991
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2004,5161
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2006,5162
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2008,4842
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2010,4872
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2012,4922
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2014,4936
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2016,4955
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2018,5107
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Finland,2004,13333
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Finland,2006,13711
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Finland,2008,15394
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Finland,2010,19454
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Finland,2012,16961
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Finland,2014,17572
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Finland,2016,22359
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Finland,2018,23253
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Finland,2020,20993
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Finland,2022,19950
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,France,2004,4743
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,France,2006,4923
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,France,2008,5376
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,France,2010,5478
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,France,2012,5264
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,France,2014,4893
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,France,2016,4836
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,France,2018,5112
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,France,2020,4577
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,France,2022,5076
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Croatia,2004,1673
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Croatia,2006,1258
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Croatia,2008,968
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Croatia,2010,735
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Croatia,2012,846
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Croatia,2014,879
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Croatia,2016,1286
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Croatia,2018,1355
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Croatia,2020,1483
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Croatia,2022,1838
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Hungary,2004,2440
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Hungary,2006,2213
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Hungary,2008,1688
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Hungary,2010,1674
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Hungary,2012,1644
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Hungary,2014,1688
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Hungary,2016,1624
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Hungary,2018,1879
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Hungary,2020,1759
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Hungary,2022,2838
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Ireland,2004,6019
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Ireland,2006,6926
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Ireland,2008,5288
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Ireland,2010,4344
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Ireland,2012,2764
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Ireland,2014,3256
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Ireland,2016,3207
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Ireland,2018,2874
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Ireland,2020,3248
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Ireland,2022,2971
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Iceland,2004,1717
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Iceland,2008,2434
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Iceland,2010,1607
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Iceland,2012,1651
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Iceland,2014,2490
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Iceland,2016,3182
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Iceland,2018,3667
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Iceland,2020,2895
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Italy,2004,2424
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Italy,2006,2666
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Italy,2008,3047
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Italy,2010,2676
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Italy,2012,2594
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Italy,2014,2597
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Italy,2016,2702
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Italy,2018,2855
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Italy,2020,2942
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Italy,2022,3212
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Liechtenstein,2008,10806
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Liechtenstein,2010,8666
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Liechtenstein,2012,12727
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Liechtenstein,2014,15278
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Liechtenstein,2016,13325
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Liechtenstein,2018,11448
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Liechtenstein,2020,13951
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Liechtenstein,2022,11088
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Lithuania,2004,2076
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Lithuania,2006,1945
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Lithuania,2008,1980
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Lithuania,2010,1801
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Lithuania,2012,1901
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Lithuania,2014,2114
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Lithuania,2016,2327
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Lithuania,2018,2527
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Lithuania,2020,2396
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Lithuania,2022,2003
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Luxembourg,2004,18153
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Luxembourg,2006,17728
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Luxembourg,2008,19630
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Luxembourg,2010,20597
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Luxembourg,2012,15816
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Luxembourg,2014,12713
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Luxembourg,2016,17217
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Luxembourg,2018,14828
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Luxembourg,2020,14618
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Luxembourg,2022,15169
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Latvia,2004,556
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Latvia,2006,838
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Latvia,2008,687
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Latvia,2010,714
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Latvia,2012,1135
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Latvia,2014,1315
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Latvia,2016,975
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Latvia,2018,920
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Latvia,2020,1501
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Latvia,2022,1330
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Montenegro,2012,1634
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Montenegro,2014,1757
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Montenegro,2016,1820
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Montenegro,2018,1965
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Montenegro,2020,2007
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Montenegro,2022,2050
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,North Macedonia,2008,666
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,North Macedonia,2010,1133
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,North Macedonia,2012,4111
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,North Macedonia,2014,1058
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,North Macedonia,2016,688
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,North Macedonia,2018,549
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,North Macedonia,2020,716
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,North Macedonia,2022,1038
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Malta,2004,7840
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Malta,2006,7060
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Malta,2008,5057
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Malta,2010,3245
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Malta,2012,3636
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Malta,2014,3960
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Malta,2016,4379
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Malta,2018,5336
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Malta,2020,6938
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Malta,2022,5004
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Netherlands,2004,5678
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Netherlands,2006,6067
