country,year,unit5,sex,outside_labour_caring
Slovakia,2008,Percentage of total population,Females,0.9
Slovakia,2009,Percentage of total population,Females,0.9
Slovakia,2010,Percentage of total population,Females,0.9
Slovakia,2011,Percentage of total population,Females,0.8
Slovakia,2012,Percentage of total population,Females,0.9
Slovakia,2013,Percentage of total population,Females,1.1
Slovakia,2014,Percentage of total population,Females,1.3
Slovakia,2015,Percentage of total population,Females,1.1
Slovakia,2016,Percentage of total population,Females,1.1
Slovakia,2017,Percentage of total population,Females,1.2
Slovakia,2018,Percentage of total population,Females,1.1
Slovakia,2019,Percentage of total population,Females,0.8
Slovakia,2020,Percentage of total population,Females,0.9
Slovakia,2021,Percentage of total population,Females,0.5
Slovakia,2022,Percentage of total population,Females,0.4
Slovakia,2023,Percentage of total population,Females,0.5
Türkiye,2006,Percentage of total population,Females,0.6
Türkiye,2007,Percentage of total population,Females,0.5
Türkiye,2008,Percentage of total population,Females,0.6
Türkiye,2009,Percentage of total population,Females,0.9
Türkiye,2010,Percentage of total population,Females,0.9
Türkiye,2011,Percentage of total population,Females,0.8
Türkiye,2012,Percentage of total population,Females,0.8
Türkiye,2013,Percentage of total population,Females,1.0
Türkiye,2014,Percentage of total population,Females,1.2
Türkiye,2015,Percentage of total population,Females,1.1
Türkiye,2016,Percentage of total population,Females,1.1
Türkiye,2017,Percentage of total population,Females,1.1
Türkiye,2018,Percentage of total population,Females,1.1
Türkiye,2019,Percentage of total population,Females,1.0
Türkiye,2020,Percentage of total population,Females,2.0
Türkiye,2021,Percentage of total population,Females,2.5
Türkiye,2022,Percentage of total population,Females,2.4
Türkiye,2023,Percentage of total population,Females,3.1
United Kingdom,2008,Percentage of total population,Females,2.0
United Kingdom,2009,Percentage of total population,Females,2.1
United Kingdom,2010,Percentage of total population,Females,1.9
United Kingdom,2011,Percentage of total population,Females,1.8
United Kingdom,2012,Percentage of total population,Females,2.0
United Kingdom,2013,Percentage of total population,Females,1.8
United Kingdom,2014,Percentage of total population,Females,1.9
United Kingdom,2015,Percentage of total population,Females,1.9
United Kingdom,2016,Percentage of total population,Females,1.8
United Kingdom,2017,Percentage of total population,Females,1.5
United Kingdom,2018,Percentage of total population,Females,1.4
United Kingdom,2019,Percentage of total population,Females,1.4
Austria,2006,Percentage of total population,Males,
Austria,2007,Percentage of total population,Males,
Austria,2008,Percentage of total population,Males,
Austria,2009,Percentage of total population,Males,
Austria,2010,Percentage of total population,Males,
Austria,2011,Percentage of total population,Males,
Austria,2012,Percentage of total population,Males,
Austria,2013,Percentage of total population,Males,
Austria,2014,Percentage of total population,Males,
Austria,2015,Percentage of total population,Males,
Austria,2016,Percentage of total population,Males,
Austria,2017,Percentage of total population,Males,
Austria,2018,Percentage of total population,Males,
Austria,2019,Percentage of total population,Males,
Austria,2020,Percentage of total population,Males,
Austria,2021,Percentage of total population,Males,
Austria,2022,Percentage of total population,Males,
Austria,2023,Percentage of total population,Males,
Bosnia and Herzegovina,2021,Percentage of total population,Males,
Belgium,2006,Percentage of total population,Males,
Belgium,2007,Percentage of total population,Males,
Belgium,2008,Percentage of total population,Males,
Belgium,2009,Percentage of total population,Males,
Belgium,2010,Percentage of total population,Males,
Belgium,2012,Percentage of total population,Males,
Belgium,2013,Percentage of total population,Males,
Belgium,2014,Percentage of total population,Males,
Belgium,2015,Percentage of total population,Males,
Belgium,2016,Percentage of total population,Males,
Belgium,2017,Percentage of total population,Males,
Belgium,2018,Percentage of total population,Males,
Belgium,2019,Percentage of total population,Males,
Belgium,2020,Percentage of total population,Males,
Belgium,2021,Percentage of total population,Males,
Belgium,2022,Percentage of total population,Males,
Belgium,2023,Percentage of total population,Males,
Bulgaria,2006,Percentage of total population,Males,
Bulgaria,2007,Percentage of total population,Males,
Bulgaria,2008,Percentage of total population,Males,
Bulgaria,2009,Percentage of total population,Males,
Bulgaria,2010,Percentage of total population,Males,
Bulgaria,2011,Percentage of total population,Males,
Bulgaria,2012,Percentage of total population,Males,
Bulgaria,2013,Percentage of total population,Males,
Bulgaria,2014,Percentage of total population,Males,
Bulgaria,2015,Percentage of total population,Males,
Bulgaria,2016,Percentage of total population,Males,
Bulgaria,2017,Percentage of total population,Males,
Bulgaria,2018,Percentage of total population,Males,
Bulgaria,2019,Percentage of total population,Males,
Bulgaria,2020,Percentage of total population,Males,
Bulgaria,2021,Percentage of total population,Males,
Bulgaria,2022,Percentage of total population,Males,
Bulgaria,2023,Percentage of total population,Males,
Switzerland,2006,Percentage of total population,Males,
Switzerland,2007,Percentage of total population,Males,
Switzerland,2008,Percentage of total population,Males,
Switzerland,2009,Percentage of total population,Males,
Switzerland,2010,Percentage of total population,Males,0.1
Switzerland,2011,Percentage of total population,Males,0.0
Switzerland,2012,Percentage of total population,Males,0.1
Switzerland,2013,Percentage of total population,Males,0.1
Switzerland,2014,Percentage of total population,Males,0.1
Switzerland,2015,Percentage of total population,Males,0.1
Switzerland,2016,Percentage of total population,Males,0.0
Switzerland,2017,Percentage of total population,Males,0.1
Switzerland,2018,Percentage of total population,Males,0.1
Switzerland,2019,Percentage of total population,Males,0.1
Switzerland,2020,Percentage of total population,Males,0.1
Switzerland,2021,Percentage of total population,Males,0.1
Switzerland,2022,Percentage of total population,Males,0.1
Switzerland,2023,Percentage of total population,Males,0.1
Cyprus,2006,Percentage of total population,Males,
Cyprus,2009,Percentage of total population,Males,
Cyprus,2010,Percentage of total population,Males,
Cyprus,2013,Percentage of total population,Males,
Cyprus,2014,Percentage of total population,Males,
Cyprus,2015,Percentage of total population,Males,
Cyprus,2018,Percentage of total population,Males,
Cyprus,2019,Percentage of total population,Males,
Cyprus,2020,Percentage of total population,Males,
Cyprus,2021,Percentage of total population,Males,
Cyprus,2022,Percentage of total population,Males,
Cyprus,2023,Percentage of total population,Males,
Czechia,2006,Percentage of total population,Males,0.0
Czechia,2007,Percentage of total population,Males,0.0
Czechia,2008,Percentage of total population,Males,0.0
Czechia,2009,Percentage of total population,Males,0.0
Czechia,2010,Percentage of total population,Males,0.0
Czechia,2011,Percentage of total population,Males,
Czechia,2012,Percentage of total population,Males,
Czechia,2013,Percentage of total population,Males,
Czechia,2014,Percentage of total population,Males,
Czechia,2015,Percentage of total population,Males,0.1
Czechia,2016,Percentage of total population,Males,
Czechia,2017,Percentage of total population,Males,0.0
Czechia,2018,Percentage of total population,Males,
Czechia,2019,Percentage of total population,Males,
Czechia,2020,Percentage of total population,Males,
Czechia,2021,Percentage of total population,Males,0.0
Czechia,2022,Percentage of total population,Males,
Czechia,2023,Percentage of total population,Males,
Germany,2006,Percentage of total population,Males,
Germany,2007,Percentage of total population,Males,
Germany,2008,Percentage of total population,Males,
Germany,2009,Percentage of total population,Males,
Germany,2010,Percentage of total population,Males,
Germany,2011,Percentage of total population,Males,
Germany,2012,Percentage of total population,Males,0.0
Germany,2013,Percentage of total population,Males,0.1
Germany,2014,Percentage of total population,Males,0.1
Germany,2015,Percentage of total population,Males,0.1
Germany,2016,Percentage of total population,Males,0.1
Germany,2017,Percentage of total population,Males,0.1
Germany,2018,Percentage of total population,Males,0.1
Germany,2019,Percentage of total population,Males,0.1
Germany,2021,Percentage of total population,Males,
Germany,2022,Percentage of total population,Males,0.1
Germany,2023,Percentage of total population,Males,0.1
Denmark,2006,Percentage of total population,Males,
Denmark,2007,Percentage of total population,Males,
Denmark,2008,Percentage of total population,Males,
Denmark,2009,Percentage of total population,Males,
Denmark,2010,Percentage of total population,Males,
Denmark,2011,Percentage of total population,Males,
Denmark,2012,Percentage of total population,Males,
Denmark,2013,Percentage of total population,Males,
Denmark,2014,Percentage of total population,Males,
Denmark,2015,Percentage of total population,Males,
Denmark,2017,Percentage of total population,Males,
Denmark,2018,Percentage of total population,Males,
Denmark,2019,Percentage of total population,Males,
Denmark,2020,Percentage of total population,Males,
Denmark,2021,Percentage of total population,Males,
Denmark,2022,Percentage of total population,Males,
Denmark,2023,Percentage of total population,Males,
Euro area – 20 countries (from 2023),2006,Percentage of total population,Males,
Euro area – 20 countries (from 2023),2007,Percentage of total population,Males,
Euro area – 20 countries (from 2023),2008,Percentage of total population,Males,
Euro area – 20 countries (from 2023),2009,Percentage of total population,Males,
Euro area – 20 countries (from 2023),2010,Percentage of total population,Males,
Euro area – 20 countries (from 2023),2011,Percentage of total population,Males,
Euro area – 20 countries (from 2023),2012,Percentage of total population,Males,0.0
Euro area – 20 countries (from 2023),2013,Percentage of total population,Males,0.1
Euro area – 20 countries (from 2023),2014,Percentage of total population,Males,0.1
Euro area – 20 countries (from 2023),2015,Percentage of total population,Males,0.1
Euro area – 20 countries (from 2023),2016,Percentage of total population,Males,0.1
Euro area – 20 countries (from 2023),2017,Percentage of total population,Males,0.1
Euro area – 20 countries (from 2023),2018,Percentage of total population,Males,0.1
Euro area – 20 countries (from 2023),2019,Percentage of total population,Males,0.1
Euro area – 20 countries (from 2023),2020,Percentage of total population,Males,0.1
Euro area – 20 countries (from 2023),2021,Percentage of total population,Males,0.1
Euro area – 20 countries (from 2023),2022,Percentage of total population,Males,0.1
Euro area – 20 countries (from 2023),2023,Percentage of total population,Males,0.1
Estonia,2006,Percentage of total population,Males,
Estonia,2007,Percentage of total population,Males,
Estonia,2008,Percentage of total population,Males,
Estonia,2009,Percentage of total population,Males,
Estonia,2010,Percentage of total population,Males,
Estonia,2011,Percentage of total population,Males,
Estonia,2012,Percentage of total population,Males,
Estonia,2013,Percentage of total population,Males,
Estonia,2014,Percentage of total population,Males,
Estonia,2015,Percentage of total population,Males,
Estonia,2016,Percentage of total population,Males,
Estonia,2017,Percentage of total population,Males,
Estonia,2018,Percentage of total population,Males,
Estonia,2019,Percentage of total population,Males,
Estonia,2020,Percentage of total population,Males,
Estonia,2021,Percentage of total population,Males,
Estonia,2022,Percentage of total population,Males,
Estonia,2023,Percentage of total population,Males,
Greece,2006,Percentage of total population,Males,
Greece,2007,Percentage of total population,Males,
Greece,2008,Percentage of total population,Males,
Greece,2009,Percentage of total population,Males,
Greece,2010,Percentage of total population,Males,
Greece,2011,Percentage of total population,Males,
Greece,2012,Percentage of total population,Males,
Greece,2013,Percentage of total population,Males,
Greece,2014,Percentage of total population,Males,
Greece,2015,Percentage of total population,Males,
Greece,2016,Percentage of total population,Males,
Greece,2017,Percentage of total population,Males,
Greece,2018,Percentage of total population,Males,0.1
Greece,2019,Percentage of total population,Males,0.1
Greece,2020,Percentage of total population,Males,0.0
Greece,2021,Percentage of total population,Males,
Greece,2022,Percentage of total population,Males,
Greece,2023,Percentage of total population,Males,
Spain,2006,Percentage of total population,Males,0.0
Spain,2007,Percentage of total population,Males,0.0
Spain,2008,Percentage of total population,Males,0.0
Spain,2009,Percentage of total population,Males,0.0
Spain,2010,Percentage of total population,Males,0.0
Spain,2011,Percentage of total population,Males,0.1
Spain,2012,Percentage of total population,Males,0.1
Spain,2013,Percentage of total population,Males,0.1
Spain,2014,Percentage of total population,Males,0.1
Spain,2015,Percentage of total population,Males,0.1
Spain,2016,Percentage of total population,Males,0.1
Spain,2017,Percentage of total population,Males,0.1
Spain,2018,Percentage of total population,Males,0.1
Spain,2019,Percentage of total population,Males,0.1
Spain,2020,Percentage of total population,Males,0.1
Spain,2021,Percentage of total population,Males,0.1
Spain,2022,Percentage of total population,Males,0.2
Spain,2023,Percentage of total population,Males,0.2
European Union - 27 countries (from 2020),2006,Percentage of total population,Males,
European Union - 27 countries (from 2020),2007,Percentage of total population,Males,0.0
European Union - 27 countries (from 2020),2008,Percentage of total population,Males,
European Union - 27 countries (from 2020),2009,Percentage of total population,Males,0.0
European Union - 27 countries (from 2020),2010,Percentage of total population,Males,0.0
European Union - 27 countries (from 2020),2011,Percentage of total population,Males,0.1
European Union - 27 countries (from 2020),2012,Percentage of total population,Males,0.1
European Union - 27 countries (from 2020),2013,Percentage of total population,Males,0.1
European Union - 27 countries (from 2020),2014,Percentage of total population,Males,0.1
European Union - 27 countries (from 2020),2015,Percentage of total population,Males,0.1
European Union - 27 countries (from 2020),2016,Percentage of total population,Males,0.1
European Union - 27 countries (from 2020),2017,Percentage of total population,Males,0.1
European Union - 27 countries (from 2020),2018,Percentage of total population,Males,0.1
European Union - 27 countries (from 2020),2019,Percentage of total population,Males,0.1
European Union - 27 countries (from 2020),2020,Percentage of total population,Males,0.1
European Union - 27 countries (from 2020),2021,Percentage of total population,Males,0.1
European Union - 27 countries (from 2020),2022,Percentage of total population,Males,0.1
European Union - 27 countries (from 2020),2023,Percentage of total population,Males,0.1
Finland,2008,Percentage of total population,Males,
Finland,2009,Percentage of total population,Males,
Finland,2010,Percentage of total population,Males,
Finland,2012,Percentage of total population,Males,
Finland,2013,Percentage of total population,Males,
Finland,2014,Percentage of total population,Males,
Finland,2015,Percentage of total population,Males,
Finland,2016,Percentage of total population,Males,
Finland,2017,Percentage of total population,Males,
Finland,2018,Percentage of total population,Males,
Finland,2019,Percentage of total population,Males,
Finland,2021,Percentage of total population,Males,
Finland,2022,Percentage of total population,Males,
Finland,2023,Percentage of total population,Males,
France,2006,Percentage of total population,Males,
France,2007,Percentage of total population,Males,
France,2008,Percentage of total population,Males,
France,2009,Percentage of total population,Males,
France,2010,Percentage of total population,Males,
France,2011,Percentage of total population,Males,
France,2012,Percentage of total population,Males,
France,2013,Percentage of total population,Males,
France,2014,Percentage of total population,Males,
France,2015,Percentage of total population,Males,
France,2016,Percentage of total population,Males,
France,2017,Percentage of total population,Males,
France,2018,Percentage of total population,Males,
France,2019,Percentage of total population,Males,0.1
France,2020,Percentage of total population,Males,
France,2021,Percentage of total population,Males,0.1
France,2022,Percentage of total population,Males,0.1
France,2023,Percentage of total population,Males,0.1
Croatia,2006,Percentage of total population,Males,
Croatia,2007,Percentage of total population,Males,
Croatia,2008,Percentage of total population,Males,
Croatia,2009,Percentage of total population,Males,
Croatia,2010,Percentage of total population,Males,
Croatia,2012,Percentage of total population,Males,
Croatia,2013,Percentage of total population,Males,
Croatia,2014,Percentage of total population,Males,
Croatia,2015,Percentage of total population,Males,
Croatia,2016,Percentage of total population,Males,
Croatia,2017,Percentage of total population,Males,
Croatia,2018,Percentage of total population,Males,
Croatia,2019,Percentage of total population,Males,
Croatia,2020,Percentage of total population,Males,
Croatia,2021,Percentage of total population,Males,
Croatia,2022,Percentage of total population,Males,
Croatia,2023,Percentage of total population,Males,
Hungary,2006,Percentage of total population,Males,0.1
Hungary,2007,Percentage of total population,Males,0.1
Hungary,2008,Percentage of total population,Males,0.1
Hungary,2009,Percentage of total population,Males,0.1
Hungary,2010,Percentage of total population,Males,0.1
Hungary,2011,Percentage of total population,Males,0.2
Hungary,2012,Percentage of total population,Males,0.2
Hungary,2013,Percentage of total population,Males,0.2
Hungary,2014,Percentage of total population,Males,0.1
Hungary,2015,Percentage of total population,Males,0.2
Hungary,2016,Percentage of total population,Males,0.2
Hungary,2017,Percentage of total population,Males,0.1
Hungary,2018,Percentage of total population,Males,0.1
Hungary,2019,Percentage of total population,Males,0.1
Hungary,2020,Percentage of total population,Males,0.1
Hungary,2021,Percentage of total population,Males,
Hungary,2022,Percentage of total population,Males,
Hungary,2023,Percentage of total population,Males,
Ireland,2006,Percentage of total population,Males,
Ireland,2007,Percentage of total population,Males,
Ireland,2008,Percentage of total population,Males,
Ireland,2009,Percentage of total population,Males,
Ireland,2010,Percentage of total population,Males,
Ireland,2011,Percentage of total population,Males,
Ireland,2012,Percentage of total population,Males,
Ireland,2013,Percentage of total population,Males,
Ireland,2014,Percentage of total population,Males,
Ireland,2015,Percentage of total population,Males,
Ireland,2016,Percentage of total population,Males,0.1
Ireland,2017,Percentage of total population,Males,0.2
Ireland,2018,Percentage of total population,Males,0.4
Ireland,2019,Percentage of total population,Males,0.3
Ireland,2020,Percentage of total population,Males,
Ireland,2021,Percentage of total population,Males,
Ireland,2022,Percentage of total population,Males,
Ireland,2023,Percentage of total population,Males,
Iceland,2008,Percentage of total population,Males,
Iceland,2012,Percentage of total population,Males,
Iceland,2014,Percentage of total population,Males,
Iceland,2015,Percentage of total population,Males,
Iceland,2016,Percentage of total population,Males,
Iceland,2018,Percentage of total population,Males,
Iceland,2020,Percentage of total population,Males,
Italy,2006,Percentage of total population,Males,0.0
Italy,2007,Percentage of total population,Males,0.0
Italy,2008,Percentage of total population,Males,0.0
Italy,2009,Percentage of total population,Males,0.1
Italy,2010,Percentage of total population,Males,0.1
Italy,2011,Percentage of total population,Males,0.1
Italy,2012,Percentage of total population,Males,0.1
Italy,2013,Percentage of total population,Males,0.1
Italy,2014,Percentage of total population,Males,0.1
Italy,2015,Percentage of total population,Males,0.1
Italy,2016,Percentage of total population,Males,0.1
Italy,2017,Percentage of total population,Males,0.1
Italy,2018,Percentage of total population,Males,0.1
Italy,2019,Percentage of total population,Males,0.1
Italy,2020,Percentage of total population,Males,0.1
Italy,2021,Percentage of total population,Males,0.1
Italy,2022,Percentage of total population,Males,0.1
Italy,2023,Percentage of total population,Males,0.1
Lithuania,2006,Percentage of total population,Males,
Lithuania,2007,Percentage of total population,Males,
Lithuania,2008,Percentage of total population,Males,
Lithuania,2009,Percentage of total population,Males,
Lithuania,2010,Percentage of total population,Males,
Lithuania,2011,Percentage of total population,Males,
Lithuania,2012,Percentage of total population,Males,
Lithuania,2013,Percentage of total population,Males,
Lithuania,2014,Percentage of total population,Males,
Lithuania,2015,Percentage of total population,Males,
Lithuania,2016,Percentage of total population,Males,
Lithuania,2017,Percentage of total population,Males,
Lithuania,2018,Percentage of total population,Males,
Lithuania,2019,Percentage of total population,Males,
Lithuania,2020,Percentage of total population,Males,
Lithuania,2021,Percentage of total population,Males,
Lithuania,2022,Percentage of total population,Males,
Lithuania,2023,Percentage of total population,Males,
Luxembourg,2008,Percentage of total population,Males,
Luxembourg,2009,Percentage of total population,Males,
Luxembourg,2010,Percentage of total population,Males,
Luxembourg,2011,Percentage of total population,Males,
Luxembourg,2012,Percentage of total population,Males,
Luxembourg,2013,Percentage of total population,Males,
Luxembourg,2014,Percentage of total population,Males,
Luxembourg,2015,Percentage of total population,Males,
Luxembourg,2016,Percentage of total population,Males,
Luxembourg,2017,Percentage of total population,Males,
Luxembourg,2018,Percentage of total population,Males,
Luxembourg,2019,Percentage of total population,Males,0.3
Luxembourg,2020,Percentage of total population,Males,
Luxembourg,2021,Percentage of total population,Males,
Luxembourg,2022,Percentage of total population,Males,
Luxembourg,2023,Percentage of total population,Males,
Latvia,2006,Percentage of total population,Males,
Latvia,2007,Percentage of total population,Males,
Latvia,2008,Percentage of total population,Males,
Latvia,2009,Percentage of total population,Males,
Latvia,2010,Percentage of total population,Males,
Latvia,2011,Percentage of total population,Males,
Latvia,2012,Percentage of total population,Males,
Latvia,2013,Percentage of total population,Males,
Latvia,2014,Percentage of total population,Males,
Latvia,2015,Percentage of total population,Males,
Latvia,2016,Percentage of total population,Males,
Latvia,2017,Percentage of total population,Males,
Latvia,2018,Percentage of total population,Males,
Latvia,2019,Percentage of total population,Males,
Latvia,2020,Percentage of total population,Males,
Latvia,2021,Percentage of total population,Males,
Latvia,2022,Percentage of total population,Males,
Latvia,2023,Percentage of total population,Males,
Montenegro,2011,Percentage of total population,Males,
Montenegro,2012,Percentage of total population,Males,
Montenegro,2013,Percentage of total population,Males,
Montenegro,2014,Percentage of total population,Males,
Montenegro,2015,Percentage of total population,Males,
Montenegro,2016,Percentage of total population,Males,
Montenegro,2017,Percentage of total population,Males,
Montenegro,2018,Percentage of total population,Males,
Montenegro,2019,Percentage of total population,Males,
Montenegro,2020,Percentage of total population,Males,
North Macedonia,2006,Percentage of total population,Males,0.1
North Macedonia,2007,Percentage of total population,Males,
North Macedonia,2008,Percentage of total population,Males,
North Macedonia,2009,Percentage of total population,Males,
North Macedonia,2010,Percentage of total population,Males,
North Macedonia,2011,Percentage of total population,Males,
North Macedonia,2012,Percentage of total population,Males,
North Macedonia,2013,Percentage of total population,Males,
North Macedonia,2014,Percentage of total population,Males,
North Macedonia,2015,Percentage of total population,Males,
North Macedonia,2016,Percentage of total population,Males,
North Macedonia,2017,Percentage of total population,Males,
North Macedonia,2018,Percentage of total population,Males,
North Macedonia,2019,Percentage of total population,Males,0.1
North Macedonia,2020,Percentage of total population,Males,0.1
Malta,2006,Percentage of total population,Males,
Malta,2007,Percentage of total population,Males,
Malta,2008,Percentage of total population,Males,
Malta,2009,Percentage of total population,Males,
Malta,2010,Percentage of total population,Males,
Malta,2011,Percentage of total population,Males,
Malta,2012,Percentage of total population,Males,
Malta,2013,Percentage of total population,Males,
Malta,2014,Percentage of total population,Males,
Malta,2015,Percentage of total population,Males,
Malta,2016,Percentage of total population,Males,
Malta,2017,Percentage of total population,Males,
Malta,2020,Percentage of total population,Males,
Malta,2021,Percentage of total population,Males,
Malta,2022,Percentage of total population,Males,
Netherlands,2006,Percentage of total population,Males,
Netherlands,2007,Percentage of total population,Males,
Netherlands,2008,Percentage of total population,Males,
Netherlands,2009,Percentage of total population,Males,
Netherlands,2012,Percentage of total population,Males,
Netherlands,2013,Percentage of total population,Males,
Netherlands,2015,Percentage of total population,Males,
Netherlands,2016,Percentage of total population,Males,
Netherlands,2017,Percentage of total population,Males,
Netherlands,2018,Percentage of total population,Males,
Netherlands,2019,Percentage of total population,Males,
Netherlands,2021,Percentage of total population,Males,0.2
Netherlands,2022,Percentage of total population,Males,0.2
Netherlands,2023,Percentage of total population,Males,0.1
Norway,2006,Percentage of total population,Males,
Norway,2007,Percentage of total population,Males,
Norway,2009,Percentage of total population,Males,
Norway,2010,Percentage of total population,Males,
Norway,2011,Percentage of total population,Males,
Norway,2014,Percentage of total population,Males,
Norway,2015,Percentage of total population,Males,
Norway,2016,Percentage of total population,Males,
Norway,2019,Percentage of total population,Males,
Norway,2020,Percentage of total population,Males,
Norway,2021,Percentage of total population,Males,
Norway,2022,Percentage of total population,Males,
Norway,2023,Percentage of total population,Males,
Poland,2006,Percentage of total population,Males,0.1
Poland,2007,Percentage of total population,Males,0.1
Poland,2008,Percentage of total population,Males,0.1
Poland,2009,Percentage of total population,Males,0.1
Poland,2010,Percentage of total population,Males,0.1
Poland,2011,Percentage of total population,Males,0.1
Poland,2012,Percentage of total population,Males,0.2
Poland,2013,Percentage of total population,Males,0.2
Poland,2014,Percentage of total population,Males,0.2
Poland,2015,Percentage of total population,Males,0.2
Poland,2016,Percentage of total population,Males,0.2
Poland,2017,Percentage of total population,Males,0.2
Poland,2018,Percentage of total population,Males,0.2
Poland,2019,Percentage of total population,Males,0.2
Poland,2020,Percentage of total population,Males,0.2
Poland,2021,Percentage of total population,Males,0.1
Poland,2022,Percentage of total population,Males,0.1
Poland,2023,Percentage of total population,Males,
Portugal,2006,Percentage of total population,Males,
Portugal,2007,Percentage of total population,Males,
Portugal,2008,Percentage of total population,Males,
Portugal,2010,Percentage of total population,Males,
Portugal,2011,Percentage of total population,Males,
Portugal,2012,Percentage of total population,Males,
Portugal,2013,Percentage of total population,Males,
Portugal,2014,Percentage of total population,Males,
Portugal,2015,Percentage of total population,Males,
Portugal,2016,Percentage of total population,Males,
Portugal,2017,Percentage of total population,Males,
Portugal,2018,Percentage of total population,Males,
Portugal,2019,Percentage of total population,Males,
Portugal,2020,Percentage of total population,Males,0.2
Portugal,2021,Percentage of total population,Males,
Portugal,2022,Percentage of total population,Males,
Portugal,2023,Percentage of total population,Males,
Romania,2006,Percentage of total population,Males,
Romania,2007,Percentage of total population,Males,
Romania,2008,Percentage of total population,Males,
Romania,2009,Percentage of total population,Males,
Romania,2010,Percentage of total population,Males,
Romania,2011,Percentage of total population,Males,
Romania,2012,Percentage of total population,Males,
Romania,2014,Percentage of total population,Males,
Romania,2015,Percentage of total population,Males,
Romania,2016,Percentage of total population,Males,
Romania,2017,Percentage of total population,Males,
Romania,2018,Percentage of total population,Males,
Romania,2019,Percentage of total population,Males,
Romania,2020,Percentage of total population,Males,
Romania,2021,Percentage of total population,Males,
Romania,2022,Percentage of total population,Males,
Romania,2023,Percentage of total population,Males,
Serbia,2010,Percentage of total population,Males,
Serbia,2011,Percentage of total population,Males,
Serbia,2012,Percentage of total population,Males,
Serbia,2013,Percentage of total population,Males,
Serbia,2014,Percentage of total population,Males,0.1
Serbia,2015,Percentage of total population,Males,0.1
Serbia,2016,Percentage of total population,Males,0.1
Serbia,2017,Percentage of total population,Males,0.1
Serbia,2018,Percentage of total population,Males,0.1
Serbia,2019,Percentage of total population,Males,0.1
Serbia,2020,Percentage of total population,Males,0.1
Serbia,2021,Percentage of total population,Males,0.1
Serbia,2022,Percentage of total population,Males,0.1
Serbia,2023,Percentage of total population,Males,0.1
Sweden,2006,Percentage of total population,Males,
Sweden,2007,Percentage of total population,Males,
Sweden,2008,Percentage of total population,Males,
Sweden,2009,Percentage of total population,Males,
Sweden,2010,Percentage of total population,Males,
Sweden,2011,Percentage of total population,Males,
Sweden,2012,Percentage of total population,Males,
Sweden,2013,Percentage of total population,Males,
Sweden,2014,Percentage of total population,Males,
Sweden,2015,Percentage of total population,Males,
Sweden,2016,Percentage of total population,Males,
Sweden,2017,Percentage of total population,Males,
Sweden,2018,Percentage of total population,Males,
Sweden,2019,Percentage of total population,Males,
Sweden,2020,Percentage of total population,Males,
Sweden,2021,Percentage of total population,Males,
Sweden,2022,Percentage of total population,Males,
Sweden,2023,Percentage of total population,Males,
Slovenia,2006,Percentage of total population,Males,
Slovenia,2007,Percentage of total population,Males,
Slovenia,2008,Percentage of total population,Males,
Slovenia,2009,Percentage of total population,Males,
Slovenia,2010,Percentage of total population,Males,
Slovenia,2011,Percentage of total population,Males,
Slovenia,2012,Percentage of total population,Males,
Slovenia,2013,Percentage of total population,Males,
Slovenia,2014,Percentage of total population,Males,
Slovenia,2015,Percentage of total population,Males,
Slovenia,2016,Percentage of total population,Males,
Slovenia,2017,Percentage of total population,Males,
Slovenia,2018,Percentage of total population,Males,
Slovenia,2019,Percentage of total population,Males,
Slovenia,2020,Percentage of total population,Males,
Slovenia,2021,Percentage of total population,Males,
Slovenia,2022,Percentage of total population,Males,
Slovenia,2023,Percentage of total population,Males,
Slovakia,2006,Percentage of total population,Males,
Slovakia,2007,Percentage of total population,Males,
Slovakia,2008,Percentage of total population,Males,
Slovakia,2009,Percentage of total population,Males,
Slovakia,2010,Percentage of total population,Males,0.1
Slovakia,2011,Percentage of total population,Males,0.1
Slovakia,2012,Percentage of total population,Males,
Slovakia,2013,Percentage of total population,Males,0.1
Slovakia,2014,Percentage of total population,Males,0.2
Slovakia,2015,Percentage of total population,Males,0.1
Slovakia,2016,Percentage of total population,Males,0.1
Slovakia,2017,Percentage of total population,Males,0.2
Slovakia,2018,Percentage of total population,Males,0.1
Slovakia,2019,Percentage of total population,Males,0.2
Slovakia,2020,Percentage of total population,Males,
Slovakia,2021,Percentage of total population,Males,
Slovakia,2022,Percentage of total population,Males,
Slovakia,2023,Percentage of total population,Males,
Türkiye,2006,Percentage of total population,Males,0.0
Türkiye,2007,Percentage of total population,Males,0.0
Türkiye,2008,Percentage of total population,Males,0.0
Türkiye,2009,Percentage of total population,Males,0.0
Türkiye,2010,Percentage of total population,Males,0.0
Türkiye,2011,Percentage of total population,Males,0.0
Türkiye,2012,Percentage of total population,Males,0.0
Türkiye,2013,Percentage of total population,Males,0.0
Türkiye,2014,Percentage of total population,Males,0.0
Türkiye,2015,Percentage of total population,Males,0.0
Türkiye,2016,Percentage of total population,Males,0.0
Türkiye,2017,Percentage of total population,Males,0.0
Türkiye,2018,Percentage of total population,Males,0.0
Türkiye,2019,Percentage of total population,Males,0.0
Türkiye,2020,Percentage of total population,Males,0.0
Türkiye,2021,Percentage of total population,Males,0.1
Türkiye,2022,Percentage of total population,Males,0.1
Türkiye,2023,Percentage of total population,Males,0.1
United Kingdom,2008,Percentage of total population,Males,0.3
United Kingdom,2009,Percentage of total population,Males,0.2
