country,year,unit12,consumption
Portugal,2019,Per inhabitant,1.03
Portugal,2020,Per inhabitant,0.95
Portugal,2021,Per inhabitant,0.98
Portugal,2022,Per inhabitant,1.05
Romania,2010,Per inhabitant,0.56
Romania,2011,Per inhabitant,0.57
Romania,2012,Per inhabitant,0.57
Romania,2013,Per inhabitant,0.59
Romania,2014,Per inhabitant,0.6
Romania,2015,Per inhabitant,0.61
Romania,2016,Per inhabitant,0.62
Romania,2017,Per inhabitant,0.63
Romania,2018,Per inhabitant,0.64
Romania,2019,Per inhabitant,0.64
Romania,2020,Per inhabitant,0.64
Romania,2021,Per inhabitant,0.66
Romania,2022,Per inhabitant,0.68
Sweden,2010,Per inhabitant,1.21
Sweden,2011,Per inhabitant,1.19
Sweden,2012,Per inhabitant,1.15
Sweden,2013,Per inhabitant,1.15
Sweden,2014,Per inhabitant,1.16
Sweden,2015,Per inhabitant,1.16
Sweden,2016,Per inhabitant,1.14
Sweden,2017,Per inhabitant,1.12
Sweden,2018,Per inhabitant,1.1
Sweden,2019,Per inhabitant,1.1
Sweden,2020,Per inhabitant,0.96
Sweden,2021,Per inhabitant,0.99
Sweden,2022,Per inhabitant,1.08
Slovenia,2010,Per inhabitant,0.88
Slovenia,2011,Per inhabitant,0.87
Slovenia,2012,Per inhabitant,0.85
Slovenia,2013,Per inhabitant,0.84
Slovenia,2014,Per inhabitant,0.85
Slovenia,2015,Per inhabitant,0.89
Slovenia,2016,Per inhabitant,0.92
Slovenia,2017,Per inhabitant,0.92
Slovenia,2018,Per inhabitant,0.91
Slovenia,2019,Per inhabitant,0.9
Slovenia,2020,Per inhabitant,0.88
Slovenia,2021,Per inhabitant,0.85
Slovenia,2022,Per inhabitant,0.88
Slovakia,2010,Per inhabitant,0.61
Slovakia,2011,Per inhabitant,0.63
Slovakia,2012,Per inhabitant,0.61
Slovakia,2013,Per inhabitant,0.62
Slovakia,2014,Per inhabitant,0.63
Slovakia,2015,Per inhabitant,0.62
Slovakia,2016,Per inhabitant,0.65
Slovakia,2017,Per inhabitant,0.67
Slovakia,2018,Per inhabitant,0.67
Slovakia,2019,Per inhabitant,0.67
Slovakia,2020,Per inhabitant,0.67
Slovakia,2021,Per inhabitant,0.68
Slovakia,2022,Per inhabitant,0.73
