country,year,incgrp,value,source
France,2019,Above 60% of median equivalised income,13.6,ESTAT:SDG_16_20(1.0)
France,2020,Above 60% of median equivalised income,16.2,ESTAT:SDG_16_20(1.0)
France,2023,Above 60% of median equivalised income,13.9,ESTAT:SDG_16_20(1.0)
Croatia,2010,Above 60% of median equivalised income,4.8,ESTAT:SDG_16_20(1.0)
Croatia,2011,Above 60% of median equivalised income,3.7,ESTAT:SDG_16_20(1.0)
Croatia,2012,Above 60% of median equivalised income,2.9,ESTAT:SDG_16_20(1.0)
Croatia,2013,Above 60% of median equivalised income,2.9,ESTAT:SDG_16_20(1.0)
Croatia,2014,Above 60% of median equivalised income,2.8,ESTAT:SDG_16_20(1.0)
Croatia,2015,Above 60% of median equivalised income,3.0,ESTAT:SDG_16_20(1.0)
Croatia,2016,Above 60% of median equivalised income,3.1,ESTAT:SDG_16_20(1.0)
Croatia,2017,Above 60% of median equivalised income,3.2,ESTAT:SDG_16_20(1.0)
Croatia,2018,Above 60% of median equivalised income,2.7,ESTAT:SDG_16_20(1.0)
Croatia,2019,Above 60% of median equivalised income,2.8,ESTAT:SDG_16_20(1.0)
Croatia,2020,Above 60% of median equivalised income,2.4,ESTAT:SDG_16_20(1.0)
Croatia,2023,Above 60% of median equivalised income,1.5,ESTAT:SDG_16_20(1.0)
Hungary,2005,Above 60% of median equivalised income,12.3,ESTAT:SDG_16_20(1.0)
Hungary,2006,Above 60% of median equivalised income,9.5,ESTAT:SDG_16_20(1.0)
Hungary,2007,Above 60% of median equivalised income,12.1,ESTAT:SDG_16_20(1.0)
Hungary,2008,Above 60% of median equivalised income,12.6,ESTAT:SDG_16_20(1.0)
Hungary,2009,Above 60% of median equivalised income,10.6,ESTAT:SDG_16_20(1.0)
Hungary,2010,Above 60% of median equivalised income,10.9,ESTAT:SDG_16_20(1.0)
Hungary,2011,Above 60% of median equivalised income,9.9,ESTAT:SDG_16_20(1.0)
Hungary,2012,Above 60% of median equivalised income,9.3,ESTAT:SDG_16_20(1.0)
Hungary,2013,Above 60% of median equivalised income,11.3,ESTAT:SDG_16_20(1.0)
Hungary,2014,Above 60% of median equivalised income,12.2,ESTAT:SDG_16_20(1.0)
Hungary,2015,Above 60% of median equivalised income,9.0,ESTAT:SDG_16_20(1.0)
Hungary,2016,Above 60% of median equivalised income,8.7,ESTAT:SDG_16_20(1.0)
Hungary,2017,Above 60% of median equivalised income,6.3,ESTAT:SDG_16_20(1.0)
Hungary,2018,Above 60% of median equivalised income,3.9,ESTAT:SDG_16_20(1.0)
Hungary,2019,Above 60% of median equivalised income,4.6,ESTAT:SDG_16_20(1.0)
Hungary,2020,Above 60% of median equivalised income,4.8,ESTAT:SDG_16_20(1.0)
Hungary,2023,Above 60% of median equivalised income,5.1,ESTAT:SDG_16_20(1.0)
Ireland,2003,Above 60% of median equivalised income,15.6,ESTAT:SDG_16_20(1.0)
Ireland,2004,Above 60% of median equivalised income,13.5,ESTAT:SDG_16_20(1.0)
Ireland,2005,Above 60% of median equivalised income,13.6,ESTAT:SDG_16_20(1.0)
Ireland,2006,Above 60% of median equivalised income,16.1,ESTAT:SDG_16_20(1.0)
Ireland,2007,Above 60% of median equivalised income,14.2,ESTAT:SDG_16_20(1.0)
Ireland,2008,Above 60% of median equivalised income,12.1,ESTAT:SDG_16_20(1.0)
Ireland,2009,Above 60% of median equivalised income,14.1,ESTAT:SDG_16_20(1.0)
Ireland,2010,Above 60% of median equivalised income,9.5,ESTAT:SDG_16_20(1.0)
Ireland,2011,Above 60% of median equivalised income,10.0,ESTAT:SDG_16_20(1.0)
Ireland,2012,Above 60% of median equivalised income,10.3,ESTAT:SDG_16_20(1.0)
Ireland,2013,Above 60% of median equivalised income,11.5,ESTAT:SDG_16_20(1.0)
Ireland,2014,Above 60% of median equivalised income,10.7,ESTAT:SDG_16_20(1.0)
Ireland,2015,Above 60% of median equivalised income,10.1,ESTAT:SDG_16_20(1.0)
Ireland,2016,Above 60% of median equivalised income,9.2,ESTAT:SDG_16_20(1.0)
Ireland,2017,Above 60% of median equivalised income,9.3,ESTAT:SDG_16_20(1.0)
Ireland,2018,Above 60% of median equivalised income,9.4,ESTAT:SDG_16_20(1.0)
Ireland,2019,Above 60% of median equivalised income,7.7,ESTAT:SDG_16_20(1.0)
Ireland,2020,Above 60% of median equivalised income,10.3,ESTAT:SDG_16_20(1.0)
Iceland,2004,Above 60% of median equivalised income,3.8,ESTAT:SDG_16_20(1.0)
Iceland,2005,Above 60% of median equivalised income,3.8,ESTAT:SDG_16_20(1.0)
Iceland,2006,Above 60% of median equivalised income,2.4,ESTAT:SDG_16_20(1.0)
Iceland,2007,Above 60% of median equivalised income,3.4,ESTAT:SDG_16_20(1.0)
Iceland,2008,Above 60% of median equivalised income,3.1,ESTAT:SDG_16_20(1.0)
Iceland,2009,Above 60% of median equivalised income,4.0,ESTAT:SDG_16_20(1.0)
Iceland,2010,Above 60% of median equivalised income,3.7,ESTAT:SDG_16_20(1.0)
Iceland,2011,Above 60% of median equivalised income,2.3,ESTAT:SDG_16_20(1.0)
Iceland,2012,Above 60% of median equivalised income,3.1,ESTAT:SDG_16_20(1.0)
Iceland,2013,Above 60% of median equivalised income,2.2,ESTAT:SDG_16_20(1.0)
Iceland,2014,Above 60% of median equivalised income,1.9,ESTAT:SDG_16_20(1.0)
Iceland,2015,Above 60% of median equivalised income,1.9,ESTAT:SDG_16_20(1.0)
Iceland,2016,Above 60% of median equivalised income,2.1,ESTAT:SDG_16_20(1.0)
Iceland,2017,Above 60% of median equivalised income,1.9,ESTAT:SDG_16_20(1.0)
Iceland,2018,Above 60% of median equivalised income,2.4,ESTAT:SDG_16_20(1.0)
Iceland,2019,Above 60% of median equivalised income,2.3,ESTAT:SDG_16_20(1.0)
Italy,2004,Above 60% of median equivalised income,14.6,ESTAT:SDG_16_20(1.0)
Italy,2005,Above 60% of median equivalised income,13.8,ESTAT:SDG_16_20(1.0)
Italy,2006,Above 60% of median equivalised income,14.2,ESTAT:SDG_16_20(1.0)
Italy,2007,Above 60% of median equivalised income,15.6,ESTAT:SDG_16_20(1.0)
Italy,2008,Above 60% of median equivalised income,13.4,ESTAT:SDG_16_20(1.0)
Italy,2009,Above 60% of median equivalised income,15.1,ESTAT:SDG_16_20(1.0)
Italy,2010,Above 60% of median equivalised income,11.9,ESTAT:SDG_16_20(1.0)
Italy,2011,Above 60% of median equivalised income,14.7,ESTAT:SDG_16_20(1.0)
Italy,2012,Above 60% of median equivalised income,14.5,ESTAT:SDG_16_20(1.0)
Italy,2013,Above 60% of median equivalised income,15.9,ESTAT:SDG_16_20(1.0)
Italy,2014,Above 60% of median equivalised income,17.8,ESTAT:SDG_16_20(1.0)
Italy,2015,Above 60% of median equivalised income,19.5,ESTAT:SDG_16_20(1.0)
Italy,2016,Above 60% of median equivalised income,14.9,ESTAT:SDG_16_20(1.0)
Italy,2017,Above 60% of median equivalised income,12.3,ESTAT:SDG_16_20(1.0)
Italy,2018,Above 60% of median equivalised income,11.3,ESTAT:SDG_16_20(1.0)
Italy,2019,Above 60% of median equivalised income,9.6,ESTAT:SDG_16_20(1.0)
Italy,2020,Above 60% of median equivalised income,8.2,ESTAT:SDG_16_20(1.0)
Italy,2023,Above 60% of median equivalised income,6.2,ESTAT:SDG_16_20(1.0)
Lithuania,2005,Above 60% of median equivalised income,9.6,ESTAT:SDG_16_20(1.0)
Lithuania,2006,Above 60% of median equivalised income,8.0,ESTAT:SDG_16_20(1.0)
Lithuania,2007,Above 60% of median equivalised income,7.8,ESTAT:SDG_16_20(1.0)
Lithuania,2008,Above 60% of median equivalised income,5.3,ESTAT:SDG_16_20(1.0)
Lithuania,2009,Above 60% of median equivalised income,6.6,ESTAT:SDG_16_20(1.0)
Lithuania,2010,Above 60% of median equivalised income,5.4,ESTAT:SDG_16_20(1.0)
Lithuania,2011,Above 60% of median equivalised income,4.6,ESTAT:SDG_16_20(1.0)
Lithuania,2012,Above 60% of median equivalised income,5.1,ESTAT:SDG_16_20(1.0)
Lithuania,2013,Above 60% of median equivalised income,6.3,ESTAT:SDG_16_20(1.0)
Lithuania,2014,Above 60% of median equivalised income,5.0,ESTAT:SDG_16_20(1.0)
Lithuania,2015,Above 60% of median equivalised income,4.8,ESTAT:SDG_16_20(1.0)
Lithuania,2016,Above 60% of median equivalised income,3.3,ESTAT:SDG_16_20(1.0)
Lithuania,2017,Above 60% of median equivalised income,7.9,ESTAT:SDG_16_20(1.0)
Lithuania,2018,Above 60% of median equivalised income,3.5,ESTAT:SDG_16_20(1.0)
Lithuania,2019,Above 60% of median equivalised income,3.3,ESTAT:SDG_16_20(1.0)
Lithuania,2020,Above 60% of median equivalised income,3.1,ESTAT:SDG_16_20(1.0)
Lithuania,2023,Above 60% of median equivalised income,2.5,ESTAT:SDG_16_20(1.0)
Luxembourg,2003,Above 60% of median equivalised income,18.4,ESTAT:SDG_16_20(1.0)
Luxembourg,2004,Above 60% of median equivalised income,15.1,ESTAT:SDG_16_20(1.0)
Luxembourg,2005,Above 60% of median equivalised income,15.2,ESTAT:SDG_16_20(1.0)
Luxembourg,2006,Above 60% of median equivalised income,10.3,ESTAT:SDG_16_20(1.0)
Luxembourg,2007,Above 60% of median equivalised income,9.7,ESTAT:SDG_16_20(1.0)
Luxembourg,2008,Above 60% of median equivalised income,10.6,ESTAT:SDG_16_20(1.0)
Luxembourg,2009,Above 60% of median equivalised income,10.5,ESTAT:SDG_16_20(1.0)
Luxembourg,2010,Above 60% of median equivalised income,9.7,ESTAT:SDG_16_20(1.0)
Luxembourg,2011,Above 60% of median equivalised income,9.9,ESTAT:SDG_16_20(1.0)
Luxembourg,2012,Above 60% of median equivalised income,14.1,ESTAT:SDG_16_20(1.0)
Luxembourg,2013,Above 60% of median equivalised income,12.9,ESTAT:SDG_16_20(1.0)
Luxembourg,2014,Above 60% of median equivalised income,16.2,ESTAT:SDG_16_20(1.0)
Luxembourg,2015,Above 60% of median equivalised income,15.0,ESTAT:SDG_16_20(1.0)
Luxembourg,2016,Above 60% of median equivalised income,11.3,ESTAT:SDG_16_20(1.0)
Luxembourg,2017,Above 60% of median equivalised income,11.8,ESTAT:SDG_16_20(1.0)
Luxembourg,2018,Above 60% of median equivalised income,10.8,ESTAT:SDG_16_20(1.0)
Luxembourg,2019,Above 60% of median equivalised income,11.1,ESTAT:SDG_16_20(1.0)
Luxembourg,2020,Above 60% of median equivalised income,10.7,ESTAT:SDG_16_20(1.0)
Luxembourg,2023,Above 60% of median equivalised income,7.4,ESTAT:SDG_16_20(1.0)
Latvia,2005,Above 60% of median equivalised income,23.6,ESTAT:SDG_16_20(1.0)
Latvia,2006,Above 60% of median equivalised income,28.0,ESTAT:SDG_16_20(1.0)
Latvia,2007,Above 60% of median equivalised income,27.9,ESTAT:SDG_16_20(1.0)
Latvia,2008,Above 60% of median equivalised income,29.3,ESTAT:SDG_16_20(1.0)
Latvia,2009,Above 60% of median equivalised income,24.9,ESTAT:SDG_16_20(1.0)
Latvia,2010,Above 60% of median equivalised income,24.3,ESTAT:SDG_16_20(1.0)
Latvia,2011,Above 60% of median equivalised income,19.4,ESTAT:SDG_16_20(1.0)
Latvia,2012,Above 60% of median equivalised income,17.4,ESTAT:SDG_16_20(1.0)
Latvia,2013,Above 60% of median equivalised income,12.3,ESTAT:SDG_16_20(1.0)
Latvia,2014,Above 60% of median equivalised income,13.2,ESTAT:SDG_16_20(1.0)
Latvia,2015,Above 60% of median equivalised income,12.4,ESTAT:SDG_16_20(1.0)
Latvia,2016,Above 60% of median equivalised income,10.5,ESTAT:SDG_16_20(1.0)
Latvia,2017,Above 60% of median equivalised income,7.9,ESTAT:SDG_16_20(1.0)
Latvia,2018,Above 60% of median equivalised income,9.0,ESTAT:SDG_16_20(1.0)
Latvia,2019,Above 60% of median equivalised income,6.4,ESTAT:SDG_16_20(1.0)
Latvia,2020,Above 60% of median equivalised income,5.0,ESTAT:SDG_16_20(1.0)
Latvia,2023,Above 60% of median equivalised income,5.8,ESTAT:SDG_16_20(1.0)
Montenegro,2013,Above 60% of median equivalised income,6.9,ESTAT:SDG_16_20(1.0)
Montenegro,2014,Above 60% of median equivalised income,6.2,ESTAT:SDG_16_20(1.0)
Montenegro,2015,Above 60% of median equivalised income,7.3,ESTAT:SDG_16_20(1.0)
Montenegro,2016,Above 60% of median equivalised income,5.2,ESTAT:SDG_16_20(1.0)
Montenegro,2017,Above 60% of median equivalised income,3.1,ESTAT:SDG_16_20(1.0)
Montenegro,2018,Above 60% of median equivalised income,5.6,ESTAT:SDG_16_20(1.0)
Montenegro,2019,Above 60% of median equivalised income,5.7,ESTAT:SDG_16_20(1.0)
Montenegro,2020,Above 60% of median equivalised income,2.5,ESTAT:SDG_16_20(1.0)
North Macedonia,2010,Above 60% of median equivalised income,6.6,ESTAT:SDG_16_20(1.0)
North Macedonia,2011,Above 60% of median equivalised income,6.6,ESTAT:SDG_16_20(1.0)
North Macedonia,2012,Above 60% of median equivalised income,5.5,ESTAT:SDG_16_20(1.0)
North Macedonia,2013,Above 60% of median equivalised income,8.1,ESTAT:SDG_16_20(1.0)
North Macedonia,2014,Above 60% of median equivalised income,5.9,ESTAT:SDG_16_20(1.0)
North Macedonia,2015,Above 60% of median equivalised income,6.1,ESTAT:SDG_16_20(1.0)
North Macedonia,2016,Above 60% of median equivalised income,4.7,ESTAT:SDG_16_20(1.0)
North Macedonia,2017,Above 60% of median equivalised income,4.7,ESTAT:SDG_16_20(1.0)
North Macedonia,2018,Above 60% of median equivalised income,5.8,ESTAT:SDG_16_20(1.0)
North Macedonia,2019,Above 60% of median equivalised income,6.5,ESTAT:SDG_16_20(1.0)
North Macedonia,2020,Above 60% of median equivalised income,6.0,ESTAT:SDG_16_20(1.0)
Malta,2005,Above 60% of median equivalised income,13.8,ESTAT:SDG_16_20(1.0)
Malta,2006,Above 60% of median equivalised income,12.5,ESTAT:SDG_16_20(1.0)
Malta,2007,Above 60% of median equivalised income,10.1,ESTAT:SDG_16_20(1.0)
Malta,2008,Above 60% of median equivalised income,10.0,ESTAT:SDG_16_20(1.0)
Malta,2009,Above 60% of median equivalised income,10.4,ESTAT:SDG_16_20(1.0)
Malta,2010,Above 60% of median equivalised income,10.4,ESTAT:SDG_16_20(1.0)
Malta,2011,Above 60% of median equivalised income,12.7,ESTAT:SDG_16_20(1.0)
Malta,2012,Above 60% of median equivalised income,13.0,ESTAT:SDG_16_20(1.0)
Malta,2013,Above 60% of median equivalised income,13.0,ESTAT:SDG_16_20(1.0)
Malta,2014,Above 60% of median equivalised income,12.1,ESTAT:SDG_16_20(1.0)
Malta,2015,Above 60% of median equivalised income,10.8,ESTAT:SDG_16_20(1.0)
Malta,2016,Above 60% of median equivalised income,10.3,ESTAT:SDG_16_20(1.0)
Malta,2017,Above 60% of median equivalised income,9.5,ESTAT:SDG_16_20(1.0)
Malta,2018,Above 60% of median equivalised income,12.2,ESTAT:SDG_16_20(1.0)
Malta,2019,Above 60% of median equivalised income,13.7,ESTAT:SDG_16_20(1.0)
Malta,2020,Above 60% of median equivalised income,11.2,ESTAT:SDG_16_20(1.0)
Malta,2023,Above 60% of median equivalised income,7.8,ESTAT:SDG_16_20(1.0)
Netherlands,2005,Above 60% of median equivalised income,18.4,ESTAT:SDG_16_20(1.0)
Netherlands,2006,Above 60% of median equivalised income,16.3,ESTAT:SDG_16_20(1.0)
Netherlands,2007,Above 60% of median equivalised income,17.6,ESTAT:SDG_16_20(1.0)
Netherlands,2008,Above 60% of median equivalised income,14.5,ESTAT:SDG_16_20(1.0)
Netherlands,2009,Above 60% of median equivalised income,21.3,ESTAT:SDG_16_20(1.0)
Netherlands,2010,Above 60% of median equivalised income,16.5,ESTAT:SDG_16_20(1.0)
Netherlands,2011,Above 60% of median equivalised income,18.2,ESTAT:SDG_16_20(1.0)
Netherlands,2012,Above 60% of median equivalised income,17.9,ESTAT:SDG_16_20(1.0)
Netherlands,2013,Above 60% of median equivalised income,18.0,ESTAT:SDG_16_20(1.0)
Netherlands,2014,Above 60% of median equivalised income,18.1,ESTAT:SDG_16_20(1.0)
Netherlands,2015,Above 60% of median equivalised income,17.4,ESTAT:SDG_16_20(1.0)
Netherlands,2016,Above 60% of median equivalised income,16.0,ESTAT:SDG_16_20(1.0)
Netherlands,2017,Above 60% of median equivalised income,14.5,ESTAT:SDG_16_20(1.0)
Netherlands,2018,Above 60% of median equivalised income,16.8,ESTAT:SDG_16_20(1.0)
Netherlands,2019,Above 60% of median equivalised income,15.7,ESTAT:SDG_16_20(1.0)
Netherlands,2020,Above 60% of median equivalised income,14.7,ESTAT:SDG_16_20(1.0)
Netherlands,2023,Above 60% of median equivalised income,16.1,ESTAT:SDG_16_20(1.0)
Norway,2003,Above 60% of median equivalised income,5.7,ESTAT:SDG_16_20(1.0)
Norway,2004,Above 60% of median equivalised income,5.6,ESTAT:SDG_16_20(1.0)
Norway,2005,Above 60% of median equivalised income,4.8,ESTAT:SDG_16_20(1.0)
Norway,2006,Above 60% of median equivalised income,3.4,ESTAT:SDG_16_20(1.0)
Norway,2007,Above 60% of median equivalised income,4.6,ESTAT:SDG_16_20(1.0)
Norway,2008,Above 60% of median equivalised income,4.8,ESTAT:SDG_16_20(1.0)
Norway,2009,Above 60% of median equivalised income,5.1,ESTAT:SDG_16_20(1.0)
Norway,2010,Above 60% of median equivalised income,5.2,ESTAT:SDG_16_20(1.0)
Norway,2011,Above 60% of median equivalised income,4.6,ESTAT:SDG_16_20(1.0)
Norway,2012,Above 60% of median equivalised income,5.7,ESTAT:SDG_16_20(1.0)
Norway,2013,Above 60% of median equivalised income,4.2,ESTAT:SDG_16_20(1.0)
Norway,2014,Above 60% of median equivalised income,3.7,ESTAT:SDG_16_20(1.0)
Norway,2015,Above 60% of median equivalised income,5.6,ESTAT:SDG_16_20(1.0)
Norway,2016,Above 60% of median equivalised income,4.3,ESTAT:SDG_16_20(1.0)
Norway,2017,Above 60% of median equivalised income,3.5,ESTAT:SDG_16_20(1.0)
Norway,2018,Above 60% of median equivalised income,3.9,ESTAT:SDG_16_20(1.0)
Norway,2019,Above 60% of median equivalised income,3.8,ESTAT:SDG_16_20(1.0)
Norway,2020,Above 60% of median equivalised income,3.8,ESTAT:SDG_16_20(1.0)
Norway,2023,Above 60% of median equivalised income,5.7,ESTAT:SDG_16_20(1.0)
Poland,2005,Above 60% of median equivalised income,10.6,ESTAT:SDG_16_20(1.0)
Poland,2006,Above 60% of median equivalised income,9.2,ESTAT:SDG_16_20(1.0)
Poland,2007,Above 60% of median equivalised income,7.8,ESTAT:SDG_16_20(1.0)
Poland,2008,Above 60% of median equivalised income,7.1,ESTAT:SDG_16_20(1.0)
Poland,2009,Above 60% of median equivalised income,6.3,ESTAT:SDG_16_20(1.0)
Poland,2010,Above 60% of median equivalised income,6.4,ESTAT:SDG_16_20(1.0)
Poland,2011,Above 60% of median equivalised income,6.3,ESTAT:SDG_16_20(1.0)
Poland,2012,Above 60% of median equivalised income,6.1,ESTAT:SDG_16_20(1.0)
Poland,2013,Above 60% of median equivalised income,6.2,ESTAT:SDG_16_20(1.0)
Poland,2014,Above 60% of median equivalised income,6.2,ESTAT:SDG_16_20(1.0)
Poland,2015,Above 60% of median equivalised income,5.8,ESTAT:SDG_16_20(1.0)
Poland,2016,Above 60% of median equivalised income,5.8,ESTAT:SDG_16_20(1.0)
Poland,2017,Above 60% of median equivalised income,5.4,ESTAT:SDG_16_20(1.0)
Poland,2018,Above 60% of median equivalised income,4.8,ESTAT:SDG_16_20(1.0)
Poland,2019,Above 60% of median equivalised income,4.4,ESTAT:SDG_16_20(1.0)
Poland,2023,Above 60% of median equivalised income,2.9,ESTAT:SDG_16_20(1.0)
Portugal,2004,Above 60% of median equivalised income,14.1,ESTAT:SDG_16_20(1.0)
Portugal,2005,Above 60% of median equivalised income,14.5,ESTAT:SDG_16_20(1.0)
Portugal,2006,Above 60% of median equivalised income,12.4,ESTAT:SDG_16_20(1.0)
Portugal,2007,Above 60% of median equivalised income,12.4,ESTAT:SDG_16_20(1.0)
Portugal,2008,Above 60% of median equivalised income,12.0,ESTAT:SDG_16_20(1.0)
Portugal,2009,Above 60% of median equivalised income,14.6,ESTAT:SDG_16_20(1.0)
Portugal,2010,Above 60% of median equivalised income,11.2,ESTAT:SDG_16_20(1.0)
Portugal,2011,Above 60% of median equivalised income,10.3,ESTAT:SDG_16_20(1.0)
Portugal,2012,Above 60% of median equivalised income,11.6,ESTAT:SDG_16_20(1.0)
Portugal,2013,Above 60% of median equivalised income,13.2,ESTAT:SDG_16_20(1.0)
Portugal,2014,Above 60% of median equivalised income,11.7,ESTAT:SDG_16_20(1.0)
Portugal,2015,Above 60% of median equivalised income,10.3,ESTAT:SDG_16_20(1.0)
Portugal,2016,Above 60% of median equivalised income,7.9,ESTAT:SDG_16_20(1.0)
Portugal,2017,Above 60% of median equivalised income,7.7,ESTAT:SDG_16_20(1.0)
Portugal,2018,Above 60% of median equivalised income,6.3,ESTAT:SDG_16_20(1.0)
Portugal,2019,Above 60% of median equivalised income,6.6,ESTAT:SDG_16_20(1.0)
Portugal,2020,Above 60% of median equivalised income,5.9,ESTAT:SDG_16_20(1.0)
Portugal,2023,Above 60% of median equivalised income,6.8,ESTAT:SDG_16_20(1.0)
Romania,2007,Above 60% of median equivalised income,15.0,ESTAT:SDG_16_20(1.0)
Romania,2008,Above 60% of median equivalised income,13.1,ESTAT:SDG_16_20(1.0)
Romania,2009,Above 60% of median equivalised income,16.6,ESTAT:SDG_16_20(1.0)
Romania,2010,Above 60% of median equivalised income,15.6,ESTAT:SDG_16_20(1.0)
Romania,2011,Above 60% of median equivalised income,16.5,ESTAT:SDG_16_20(1.0)
Romania,2012,Above 60% of median equivalised income,13.7,ESTAT:SDG_16_20(1.0)
Romania,2013,Above 60% of median equivalised income,15.8,ESTAT:SDG_16_20(1.0)
Romania,2014,Above 60% of median equivalised income,14.0,ESTAT:SDG_16_20(1.0)
Romania,2015,Above 60% of median equivalised income,12.8,ESTAT:SDG_16_20(1.0)
Romania,2016,Above 60% of median equivalised income,13.7,ESTAT:SDG_16_20(1.0)
Romania,2017,Above 60% of median equivalised income,10.4,ESTAT:SDG_16_20(1.0)
Romania,2018,Above 60% of median equivalised income,11.3,ESTAT:SDG_16_20(1.0)
Romania,2019,Above 60% of median equivalised income,9.1,ESTAT:SDG_16_20(1.0)
Romania,2020,Above 60% of median equivalised income,8.5,ESTAT:SDG_16_20(1.0)
Romania,2023,Above 60% of median equivalised income,5.9,ESTAT:SDG_16_20(1.0)
Serbia,2013,Above 60% of median equivalised income,20.4,ESTAT:SDG_16_20(1.0)
Serbia,2014,Above 60% of median equivalised income,22.0,ESTAT:SDG_16_20(1.0)
Serbia,2015,Above 60% of median equivalised income,18.3,ESTAT:SDG_16_20(1.0)
Serbia,2016,Above 60% of median equivalised income,19.2,ESTAT:SDG_16_20(1.0)
Serbia,2017,Above 60% of median equivalised income,14.9,ESTAT:SDG_16_20(1.0)
Serbia,2018,Above 60% of median equivalised income,14.8,ESTAT:SDG_16_20(1.0)
Serbia,2019,Above 60% of median equivalised income,11.5,ESTAT:SDG_16_20(1.0)
Serbia,2020,Above 60% of median equivalised income,9.9,ESTAT:SDG_16_20(1.0)
Sweden,2004,Above 60% of median equivalised income,9.3,ESTAT:SDG_16_20(1.0)
Sweden,2005,Above 60% of median equivalised income,9.6,ESTAT:SDG_16_20(1.0)
Sweden,2006,Above 60% of median equivalised income,13.1,ESTAT:SDG_16_20(1.0)
Sweden,2007,Above 60% of median equivalised income,12.7,ESTAT:SDG_16_20(1.0)
Sweden,2008,Above 60% of median equivalised income,12.8,ESTAT:SDG_16_20(1.0)
Sweden,2009,Above 60% of median equivalised income,12.5,ESTAT:SDG_16_20(1.0)
Sweden,2010,Above 60% of median equivalised income,9.2,ESTAT:SDG_16_20(1.0)
Sweden,2011,Above 60% of median equivalised income,9.9,ESTAT:SDG_16_20(1.0)
Sweden,2012,Above 60% of median equivalised income,9.7,ESTAT:SDG_16_20(1.0)
Sweden,2013,Above 60% of median equivalised income,9.2,ESTAT:SDG_16_20(1.0)
Sweden,2014,Above 60% of median equivalised income,9.7,ESTAT:SDG_16_20(1.0)
Sweden,2015,Above 60% of median equivalised income,9.6,ESTAT:SDG_16_20(1.0)
Sweden,2016,Above 60% of median equivalised income,12.0,ESTAT:SDG_16_20(1.0)
Sweden,2017,Above 60% of median equivalised income,12.5,ESTAT:SDG_16_20(1.0)
Sweden,2018,Above 60% of median equivalised income,14.2,ESTAT:SDG_16_20(1.0)
Sweden,2019,Above 60% of median equivalised income,12.9,ESTAT:SDG_16_20(1.0)
Sweden,2020,Above 60% of median equivalised income,13.8,ESTAT:SDG_16_20(1.0)
Sweden,2023,Above 60% of median equivalised income,9.1,ESTAT:SDG_16_20(1.0)
Slovenia,2005,Above 60% of median equivalised income,10.7,ESTAT:SDG_16_20(1.0)
Slovenia,2006,Above 60% of median equivalised income,9.7,ESTAT:SDG_16_20(1.0)
Slovenia,2007,Above 60% of median equivalised income,10.2,ESTAT:SDG_16_20(1.0)
Slovenia,2008,Above 60% of median equivalised income,8.7,ESTAT:SDG_16_20(1.0)
Slovenia,2009,Above 60% of median equivalised income,12.6,ESTAT:SDG_16_20(1.0)
Slovenia,2010,Above 60% of median equivalised income,9.6,ESTAT:SDG_16_20(1.0)
Slovenia,2011,Above 60% of median equivalised income,8.9,ESTAT:SDG_16_20(1.0)
Slovenia,2012,Above 60% of median equivalised income,8.2,ESTAT:SDG_16_20(1.0)
Slovenia,2013,Above 60% of median equivalised income,9.3,ESTAT:SDG_16_20(1.0)
Slovenia,2014,Above 60% of median equivalised income,10.4,ESTAT:SDG_16_20(1.0)
Slovenia,2015,Above 60% of median equivalised income,9.4,ESTAT:SDG_16_20(1.0)
Slovenia,2016,Above 60% of median equivalised income,8.6,ESTAT:SDG_16_20(1.0)
Slovenia,2017,Above 60% of median equivalised income,8.3,ESTAT:SDG_16_20(1.0)
Slovenia,2018,Above 60% of median equivalised income,8.1,ESTAT:SDG_16_20(1.0)
Slovenia,2019,Above 60% of median equivalised income,8.2,ESTAT:SDG_16_20(1.0)
Slovenia,2020,Above 60% of median equivalised income,7.3,ESTAT:SDG_16_20(1.0)
Slovenia,2023,Above 60% of median equivalised income,6.8,ESTAT:SDG_16_20(1.0)
Slovakia,2005,Above 60% of median equivalised income,9.5,ESTAT:SDG_16_20(1.0)
Slovakia,2006,Above 60% of median equivalised income,8.4,ESTAT:SDG_16_20(1.0)
Slovakia,2007,Above 60% of median equivalised income,8.3,ESTAT:SDG_16_20(1.0)
Slovakia,2008,Above 60% of median equivalised income,9.0,ESTAT:SDG_16_20(1.0)
Slovakia,2009,Above 60% of median equivalised income,12.4,ESTAT:SDG_16_20(1.0)
Slovakia,2010,Above 60% of median equivalised income,10.3,ESTAT:SDG_16_20(1.0)
Slovakia,2011,Above 60% of median equivalised income,9.9,ESTAT:SDG_16_20(1.0)
Slovakia,2012,Above 60% of median equivalised income,9.6,ESTAT:SDG_16_20(1.0)
Slovakia,2013,Above 60% of median equivalised income,8.5,ESTAT:SDG_16_20(1.0)
Slovakia,2014,Above 60% of median equivalised income,8.5,ESTAT:SDG_16_20(1.0)
Slovakia,2015,Above 60% of median equivalised income,6.9,ESTAT:SDG_16_20(1.0)
Slovakia,2016,Above 60% of median equivalised income,6.4,ESTAT:SDG_16_20(1.0)
Slovakia,2017,Above 60% of median equivalised income,5.8,ESTAT:SDG_16_20(1.0)
Slovakia,2018,Above 60% of median equivalised income,4.3,ESTAT:SDG_16_20(1.0)
Slovakia,2019,Above 60% of median equivalised income,5.0,ESTAT:SDG_16_20(1.0)
