country,year,bmi,value,source
Finland,2017,Obese,20.8,ESTAT:SDG_02_10(1.0)
Finland,2019,Obese,20.9,ESTAT:SDG_02_10(1.0)
Finland,2022,Obese,22.0,ESTAT:SDG_02_10(1.0)
France,2008,Obese,12.2,ESTAT:SDG_02_10(1.0)
France,2014,Obese,15.3,ESTAT:SDG_02_10(1.0)
France,2017,Obese,15.3,ESTAT:SDG_02_10(1.0)
France,2019,Obese,15.0,ESTAT:SDG_02_10(1.0)
France,2022,Obese,15.2,ESTAT:SDG_02_10(1.0)
Croatia,2014,Obese,18.7,ESTAT:SDG_02_10(1.0)
Croatia,2017,Obese,18.2,ESTAT:SDG_02_10(1.0)
Croatia,2019,Obese,23.0,ESTAT:SDG_02_10(1.0)
Croatia,2022,Obese,16.7,ESTAT:SDG_02_10(1.0)
Hungary,2008,Obese,20.0,ESTAT:SDG_02_10(1.0)
Hungary,2014,Obese,21.2,ESTAT:SDG_02_10(1.0)
Hungary,2017,Obese,20.0,ESTAT:SDG_02_10(1.0)
Hungary,2019,Obese,24.5,ESTAT:SDG_02_10(1.0)
Hungary,2022,Obese,22.2,ESTAT:SDG_02_10(1.0)
Ireland,2014,Obese,18.7,ESTAT:SDG_02_10(1.0)
Ireland,2017,Obese,15.2,ESTAT:SDG_02_10(1.0)
Ireland,2019,Obese,,ESTAT:SDG_02_10(1.0)
Ireland,2022,Obese,19.8,ESTAT:SDG_02_10(1.0)
Iceland,2014,Obese,19.0,ESTAT:SDG_02_10(1.0)
Iceland,2017,Obese,21.4,ESTAT:SDG_02_10(1.0)
Iceland,2019,Obese,22.3,ESTAT:SDG_02_10(1.0)
Italy,2014,Obese,10.8,ESTAT:SDG_02_10(1.0)
Italy,2017,Obese,5.9,ESTAT:SDG_02_10(1.0)
Italy,2019,Obese,11.7,ESTAT:SDG_02_10(1.0)
Italy,2022,Obese,7.1,ESTAT:SDG_02_10(1.0)
Lithuania,2014,Obese,17.3,ESTAT:SDG_02_10(1.0)
Lithuania,2017,Obese,17.5,ESTAT:SDG_02_10(1.0)
Lithuania,2019,Obese,18.9,ESTAT:SDG_02_10(1.0)
Lithuania,2022,Obese,20.6,ESTAT:SDG_02_10(1.0)
Luxembourg,2014,Obese,15.6,ESTAT:SDG_02_10(1.0)
Luxembourg,2017,Obese,16.0,ESTAT:SDG_02_10(1.0)
Luxembourg,2019,Obese,16.5,ESTAT:SDG_02_10(1.0)
Luxembourg,2022,Obese,17.0,ESTAT:SDG_02_10(1.0)
Latvia,2008,Obese,16.9,ESTAT:SDG_02_10(1.0)
Latvia,2014,Obese,21.3,ESTAT:SDG_02_10(1.0)
Latvia,2017,Obese,21.5,ESTAT:SDG_02_10(1.0)
Latvia,2019,Obese,23.0,ESTAT:SDG_02_10(1.0)
Latvia,2022,Obese,23.3,ESTAT:SDG_02_10(1.0)
Montenegro,2017,Obese,10.6,ESTAT:SDG_02_10(1.0)
Montenegro,2022,Obese,7.8,ESTAT:SDG_02_10(1.0)
North Macedonia,2017,Obese,10.5,ESTAT:SDG_02_10(1.0)
Malta,2008,Obese,22.9,ESTAT:SDG_02_10(1.0)
Malta,2014,Obese,26.0,ESTAT:SDG_02_10(1.0)
Malta,2017,Obese,25.7,ESTAT:SDG_02_10(1.0)
Malta,2019,Obese,28.7,ESTAT:SDG_02_10(1.0)
Malta,2022,Obese,26.1,ESTAT:SDG_02_10(1.0)
Netherlands,2014,Obese,13.3,ESTAT:SDG_02_10(1.0)
Netherlands,2017,Obese,13.0,ESTAT:SDG_02_10(1.0)
Netherlands,2019,Obese,14.7,ESTAT:SDG_02_10(1.0)
Netherlands,2022,Obese,13.8,ESTAT:SDG_02_10(1.0)
Norway,2014,Obese,13.1,ESTAT:SDG_02_10(1.0)
Norway,2017,Obese,13.8,ESTAT:SDG_02_10(1.0)
Norway,2019,Obese,14.1,ESTAT:SDG_02_10(1.0)
Norway,2022,Obese,16.8,ESTAT:SDG_02_10(1.0)
Poland,2008,Obese,16.4,ESTAT:SDG_02_10(1.0)
Poland,2014,Obese,17.2,ESTAT:SDG_02_10(1.0)
Poland,2017,Obese,16.9,ESTAT:SDG_02_10(1.0)
Poland,2019,Obese,19.0,ESTAT:SDG_02_10(1.0)
Poland,2022,Obese,18.6,ESTAT:SDG_02_10(1.0)
Portugal,2014,Obese,16.6,ESTAT:SDG_02_10(1.0)
Portugal,2017,Obese,15.7,ESTAT:SDG_02_10(1.0)
Portugal,2019,Obese,17.7,ESTAT:SDG_02_10(1.0)
Portugal,2022,Obese,15.8,ESTAT:SDG_02_10(1.0)
Romania,2008,Obese,7.9,ESTAT:SDG_02_10(1.0)
Romania,2014,Obese,9.4,ESTAT:SDG_02_10(1.0)
Romania,2017,Obese,10.4,ESTAT:SDG_02_10(1.0)
Romania,2019,Obese,10.9,ESTAT:SDG_02_10(1.0)
Romania,2022,Obese,10.3,ESTAT:SDG_02_10(1.0)
Serbia,2017,Obese,13.3,ESTAT:SDG_02_10(1.0)
Serbia,2019,Obese,17.3,ESTAT:SDG_02_10(1.0)
Serbia,2022,Obese,11.7,ESTAT:SDG_02_10(1.0)
Sweden,2014,Obese,14.0,ESTAT:SDG_02_10(1.0)
Sweden,2017,Obese,17.4,ESTAT:SDG_02_10(1.0)
Sweden,2019,Obese,15.3,ESTAT:SDG_02_10(1.0)
Sweden,2022,Obese,17.2,ESTAT:SDG_02_10(1.0)
Slovenia,2008,Obese,16.8,ESTAT:SDG_02_10(1.0)
Slovenia,2014,Obese,19.2,ESTAT:SDG_02_10(1.0)
Slovenia,2017,Obese,17.3,ESTAT:SDG_02_10(1.0)
Slovenia,2019,Obese,19.9,ESTAT:SDG_02_10(1.0)
Slovenia,2022,Obese,17.9,ESTAT:SDG_02_10(1.0)
Slovakia,2008,Obese,15.1,ESTAT:SDG_02_10(1.0)
Slovakia,2014,Obese,16.3,ESTAT:SDG_02_10(1.0)
Slovakia,2017,Obese,14.4,ESTAT:SDG_02_10(1.0)
Slovakia,2019,Obese,19.7,ESTAT:SDG_02_10(1.0)
Slovakia,2022,Obese,17.1,ESTAT:SDG_02_10(1.0)
Türkiye,2008,Obese,16.2,ESTAT:SDG_02_10(1.0)
Türkiye,2014,Obese,21.2,ESTAT:SDG_02_10(1.0)
Türkiye,2019,Obese,22.3,ESTAT:SDG_02_10(1.0)
Türkiye,2022,Obese,20.1,ESTAT:SDG_02_10(1.0)
United Kingdom,2014,Obese,20.1,ESTAT:SDG_02_10(1.0)
United Kingdom,2017,Obese,21.0,ESTAT:SDG_02_10(1.0)
