country,year,unit9,vehicle,bus_train
Ireland,2012,Percentage,"Motor coaches, buses and trolley buses",14.4
Ireland,2013,Percentage,"Motor coaches, buses and trolley buses",14.1
Ireland,2014,Percentage,"Motor coaches, buses and trolley buses",14.7
Ireland,2015,Percentage,"Motor coaches, buses and trolley buses",13.7
Ireland,2016,Percentage,"Motor coaches, buses and trolley buses",13.6
Ireland,2017,Percentage,"Motor coaches, buses and trolley buses",14.3
Ireland,2018,Percentage,"Motor coaches, buses and trolley buses",15.0
Ireland,2019,Percentage,"Motor coaches, buses and trolley buses",14.9
Ireland,2020,Percentage,"Motor coaches, buses and trolley buses",12.5
Ireland,2021,Percentage,"Motor coaches, buses and trolley buses",13.0
Ireland,2022,Percentage,"Motor coaches, buses and trolley buses",15.9
Iceland,2000,Percentage,"Motor coaches, buses and trolley buses",13.0
Iceland,2001,Percentage,"Motor coaches, buses and trolley buses",12.8
Iceland,2002,Percentage,"Motor coaches, buses and trolley buses",12.8
Iceland,2003,Percentage,"Motor coaches, buses and trolley buses",12.8
Iceland,2004,Percentage,"Motor coaches, buses and trolley buses",12.8
Iceland,2005,Percentage,"Motor coaches, buses and trolley buses",12.8
Iceland,2006,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2007,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2008,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2009,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2010,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2011,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2012,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2013,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2014,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2015,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2016,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2017,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2018,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2019,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2020,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2021,Percentage,"Motor coaches, buses and trolley buses",11.4
Iceland,2022,Percentage,"Motor coaches, buses and trolley buses",11.4
Italy,2000,Percentage,"Motor coaches, buses and trolley buses",10.9
Italy,2001,Percentage,"Motor coaches, buses and trolley buses",11.1
Italy,2002,Percentage,"Motor coaches, buses and trolley buses",11.2
Italy,2003,Percentage,"Motor coaches, buses and trolley buses",11.3
Italy,2004,Percentage,"Motor coaches, buses and trolley buses",11.4
Italy,2005,Percentage,"Motor coaches, buses and trolley buses",12.2
Italy,2006,Percentage,"Motor coaches, buses and trolley buses",12.4
Italy,2007,Percentage,"Motor coaches, buses and trolley buses",12.4
Italy,2008,Percentage,"Motor coaches, buses and trolley buses",12.4
Italy,2009,Percentage,"Motor coaches, buses and trolley buses",11.7
Italy,2010,Percentage,"Motor coaches, buses and trolley buses",12.8
Italy,2011,Percentage,"Motor coaches, buses and trolley buses",13.2
Italy,2012,Percentage,"Motor coaches, buses and trolley buses",14.7
Italy,2013,Percentage,"Motor coaches, buses and trolley buses",14.1
Italy,2014,Percentage,"Motor coaches, buses and trolley buses",12.9
Italy,2015,Percentage,"Motor coaches, buses and trolley buses",12.3
Italy,2016,Percentage,"Motor coaches, buses and trolley buses",11.9
Italy,2017,Percentage,"Motor coaches, buses and trolley buses",11.4
Italy,2018,Percentage,"Motor coaches, buses and trolley buses",11.7
Italy,2019,Percentage,"Motor coaches, buses and trolley buses",11.7
Italy,2020,Percentage,"Motor coaches, buses and trolley buses",10.9
Italy,2021,Percentage,"Motor coaches, buses and trolley buses",11.3
Italy,2022,Percentage,"Motor coaches, buses and trolley buses",12.0
Lithuania,2000,Percentage,"Motor coaches, buses and trolley buses",14.6
Lithuania,2001,Percentage,"Motor coaches, buses and trolley buses",14.6
Lithuania,2002,Percentage,"Motor coaches, buses and trolley buses",15.4
Lithuania,2003,Percentage,"Motor coaches, buses and trolley buses",13.1
Lithuania,2004,Percentage,"Motor coaches, buses and trolley buses",12.0
Lithuania,2005,Percentage,"Motor coaches, buses and trolley buses",9.5
Lithuania,2006,Percentage,"Motor coaches, buses and trolley buses",8.5
Lithuania,2007,Percentage,"Motor coaches, buses and trolley buses",8.4
Lithuania,2008,Percentage,"Motor coaches, buses and trolley buses",8.2
Lithuania,2009,Percentage,"Motor coaches, buses and trolley buses",7.1
Lithuania,2010,Percentage,"Motor coaches, buses and trolley buses",7.6
Lithuania,2011,Percentage,"Motor coaches, buses and trolley buses",8.3
Lithuania,2012,Percentage,"Motor coaches, buses and trolley buses",7.3
Lithuania,2013,Percentage,"Motor coaches, buses and trolley buses",7.8
Lithuania,2014,Percentage,"Motor coaches, buses and trolley buses",10.8
Lithuania,2015,Percentage,"Motor coaches, buses and trolley buses",9.9
Lithuania,2016,Percentage,"Motor coaches, buses and trolley buses",9.1
Lithuania,2017,Percentage,"Motor coaches, buses and trolley buses",8.0
Lithuania,2018,Percentage,"Motor coaches, buses and trolley buses",8.5
Lithuania,2019,Percentage,"Motor coaches, buses and trolley buses",8.4
Lithuania,2020,Percentage,"Motor coaches, buses and trolley buses",5.1
Lithuania,2021,Percentage,"Motor coaches, buses and trolley buses",4.5
Lithuania,2022,Percentage,"Motor coaches, buses and trolley buses",6.0
Luxembourg,2000,Percentage,"Motor coaches, buses and trolley buses",9.5
Luxembourg,2001,Percentage,"Motor coaches, buses and trolley buses",9.7
Luxembourg,2002,Percentage,"Motor coaches, buses and trolley buses",10.5
Luxembourg,2003,Percentage,"Motor coaches, buses and trolley buses",10.6
Luxembourg,2004,Percentage,"Motor coaches, buses and trolley buses",10.8
Luxembourg,2005,Percentage,"Motor coaches, buses and trolley buses",10.9
Luxembourg,2006,Percentage,"Motor coaches, buses and trolley buses",10.8
Luxembourg,2007,Percentage,"Motor coaches, buses and trolley buses",11.1
Luxembourg,2008,Percentage,"Motor coaches, buses and trolley buses",11.4
Luxembourg,2009,Percentage,"Motor coaches, buses and trolley buses",11.4
Luxembourg,2010,Percentage,"Motor coaches, buses and trolley buses",12.1
Luxembourg,2011,Percentage,"Motor coaches, buses and trolley buses",12.5
Luxembourg,2012,Percentage,"Motor coaches, buses and trolley buses",12.4
Luxembourg,2013,Percentage,"Motor coaches, buses and trolley buses",12.4
Luxembourg,2014,Percentage,"Motor coaches, buses and trolley buses",12.2
Luxembourg,2015,Percentage,"Motor coaches, buses and trolley buses",12.4
Luxembourg,2016,Percentage,"Motor coaches, buses and trolley buses",12.3
Luxembourg,2017,Percentage,"Motor coaches, buses and trolley buses",12.4
Luxembourg,2018,Percentage,"Motor coaches, buses and trolley buses",12.4
Luxembourg,2019,Percentage,"Motor coaches, buses and trolley buses",12.6
Luxembourg,2020,Percentage,"Motor coaches, buses and trolley buses",10.1
Luxembourg,2021,Percentage,"Motor coaches, buses and trolley buses",10.2
Luxembourg,2022,Percentage,"Motor coaches, buses and trolley buses",12.8
Latvia,2000,Percentage,"Motor coaches, buses and trolley buses",18.4
Latvia,2001,Percentage,"Motor coaches, buses and trolley buses",15.3
Latvia,2002,Percentage,"Motor coaches, buses and trolley buses",18.6
Latvia,2003,Percentage,"Motor coaches, buses and trolley buses",19.4
Latvia,2004,Percentage,"Motor coaches, buses and trolley buses",21.1
Latvia,2005,Percentage,"Motor coaches, buses and trolley buses",21.1
Latvia,2006,Percentage,"Motor coaches, buses and trolley buses",18.0
Latvia,2007,Percentage,"Motor coaches, buses and trolley buses",15.7
Latvia,2008,Percentage,"Motor coaches, buses and trolley buses",16.1
Latvia,2009,Percentage,"Motor coaches, buses and trolley buses",15.1
Latvia,2010,Percentage,"Motor coaches, buses and trolley buses",17.1
Latvia,2011,Percentage,"Motor coaches, buses and trolley buses",18.9
Latvia,2012,Percentage,"Motor coaches, buses and trolley buses",18.3
Latvia,2013,Percentage,"Motor coaches, buses and trolley buses",18.0
Latvia,2014,Percentage,"Motor coaches, buses and trolley buses",17.0
Latvia,2015,Percentage,"Motor coaches, buses and trolley buses",15.8
Latvia,2016,Percentage,"Motor coaches, buses and trolley buses",15.1
Latvia,2017,Percentage,"Motor coaches, buses and trolley buses",14.0
Latvia,2018,Percentage,"Motor coaches, buses and trolley buses",13.9
Latvia,2019,Percentage,"Motor coaches, buses and trolley buses",13.7
Latvia,2020,Percentage,"Motor coaches, buses and trolley buses",9.9
Latvia,2021,Percentage,"Motor coaches, buses and trolley buses",9.1
Latvia,2022,Percentage,"Motor coaches, buses and trolley buses",11.7
Montenegro,2010,Percentage,"Motor coaches, buses and trolley buses",1.9
Montenegro,2011,Percentage,"Motor coaches, buses and trolley buses",2.0
Montenegro,2012,Percentage,"Motor coaches, buses and trolley buses",2.7
Montenegro,2013,Percentage,"Motor coaches, buses and trolley buses",2.6
Montenegro,2014,Percentage,"Motor coaches, buses and trolley buses",2.6
Montenegro,2015,Percentage,"Motor coaches, buses and trolley buses",2.6
Montenegro,2016,Percentage,"Motor coaches, buses and trolley buses",2.4
Montenegro,2017,Percentage,"Motor coaches, buses and trolley buses",2.4
Montenegro,2018,Percentage,"Motor coaches, buses and trolley buses",2.3
Montenegro,2019,Percentage,"Motor coaches, buses and trolley buses",2.1
Montenegro,2020,Percentage,"Motor coaches, buses and trolley buses",0.7
Montenegro,2021,Percentage,"Motor coaches, buses and trolley buses",0.7
Montenegro,2022,Percentage,"Motor coaches, buses and trolley buses",1.0
North Macedonia,2000,Percentage,"Motor coaches, buses and trolley buses",13.5
North Macedonia,2001,Percentage,"Motor coaches, buses and trolley buses",14.3
North Macedonia,2002,Percentage,"Motor coaches, buses and trolley buses",16.7
North Macedonia,2003,Percentage,"Motor coaches, buses and trolley buses",23.6
North Macedonia,2004,Percentage,"Motor coaches, buses and trolley buses",19.8
North Macedonia,2005,Percentage,"Motor coaches, buses and trolley buses",19.1
North Macedonia,2006,Percentage,"Motor coaches, buses and trolley buses",17.8
North Macedonia,2007,Percentage,"Motor coaches, buses and trolley buses",20.1
North Macedonia,2008,Percentage,"Motor coaches, buses and trolley buses",22.1
North Macedonia,2009,Percentage,"Motor coaches, buses and trolley buses",21.6
North Macedonia,2010,Percentage,"Motor coaches, buses and trolley buses",22.9
North Macedonia,2011,Percentage,"Motor coaches, buses and trolley buses",23.1
North Macedonia,2012,Percentage,"Motor coaches, buses and trolley buses",21.2
North Macedonia,2013,Percentage,"Motor coaches, buses and trolley buses",28.4
North Macedonia,2014,Percentage,"Motor coaches, buses and trolley buses",26.5
North Macedonia,2015,Percentage,"Motor coaches, buses and trolley buses",24.1
North Macedonia,2016,Percentage,"Motor coaches, buses and trolley buses",22.1
North Macedonia,2017,Percentage,"Motor coaches, buses and trolley buses",22.2
North Macedonia,2018,Percentage,"Motor coaches, buses and trolley buses",23.0
North Macedonia,2019,Percentage,"Motor coaches, buses and trolley buses",20.8
North Macedonia,2020,Percentage,"Motor coaches, buses and trolley buses",6.4
North Macedonia,2021,Percentage,"Motor coaches, buses and trolley buses",5.5
North Macedonia,2022,Percentage,"Motor coaches, buses and trolley buses",8.6
Malta,2000,Percentage,"Motor coaches, buses and trolley buses",20.4
Malta,2001,Percentage,"Motor coaches, buses and trolley buses",20.7
Malta,2002,Percentage,"Motor coaches, buses and trolley buses",20.6
Malta,2003,Percentage,"Motor coaches, buses and trolley buses",20.5
Malta,2004,Percentage,"Motor coaches, buses and trolley buses",20.4
Malta,2005,Percentage,"Motor coaches, buses and trolley buses",19.7
Malta,2006,Percentage,"Motor coaches, buses and trolley buses",19.6
Malta,2007,Percentage,"Motor coaches, buses and trolley buses",19.4
Malta,2008,Percentage,"Motor coaches, buses and trolley buses",19.2
Malta,2009,Percentage,"Motor coaches, buses and trolley buses",18.1
Malta,2010,Percentage,"Motor coaches, buses and trolley buses",18.5
Malta,2011,Percentage,"Motor coaches, buses and trolley buses",17.6
Malta,2012,Percentage,"Motor coaches, buses and trolley buses",17.5
Malta,2013,Percentage,"Motor coaches, buses and trolley buses",17.0
Malta,2014,Percentage,"Motor coaches, buses and trolley buses",16.9
Malta,2015,Percentage,"Motor coaches, buses and trolley buses",17.7
Malta,2016,Percentage,"Motor coaches, buses and trolley buses",17.4
Malta,2017,Percentage,"Motor coaches, buses and trolley buses",17.5
Malta,2018,Percentage,"Motor coaches, buses and trolley buses",17.5
Malta,2019,Percentage,"Motor coaches, buses and trolley buses",18.2
Malta,2020,Percentage,"Motor coaches, buses and trolley buses",13.8
Malta,2021,Percentage,"Motor coaches, buses and trolley buses",14.1
Malta,2022,Percentage,"Motor coaches, buses and trolley buses",17.1
Netherlands,2000,Percentage,"Motor coaches, buses and trolley buses",4.6
Netherlands,2001,Percentage,"Motor coaches, buses and trolley buses",4.7
Netherlands,2002,Percentage,"Motor coaches, buses and trolley buses",4.3
Netherlands,2003,Percentage,"Motor coaches, buses and trolley buses",3.9
Netherlands,2004,Percentage,"Motor coaches, buses and trolley buses",3.9
Netherlands,2005,Percentage,"Motor coaches, buses and trolley buses",3.8
Netherlands,2006,Percentage,"Motor coaches, buses and trolley buses",3.5
Netherlands,2007,Percentage,"Motor coaches, buses and trolley buses",2.9
Netherlands,2008,Percentage,"Motor coaches, buses and trolley buses",3.0
Netherlands,2009,Percentage,"Motor coaches, buses and trolley buses",2.9
Netherlands,2010,Percentage,"Motor coaches, buses and trolley buses",3.4
Netherlands,2011,Percentage,"Motor coaches, buses and trolley buses",3.5
Netherlands,2012,Percentage,"Motor coaches, buses and trolley buses",3.2
Netherlands,2013,Percentage,"Motor coaches, buses and trolley buses",2.7
Netherlands,2014,Percentage,"Motor coaches, buses and trolley buses",2.7
Netherlands,2015,Percentage,"Motor coaches, buses and trolley buses",3.0
Netherlands,2016,Percentage,"Motor coaches, buses and trolley buses",3.0
Netherlands,2017,Percentage,"Motor coaches, buses and trolley buses",2.9
Netherlands,2018,Percentage,"Motor coaches, buses and trolley buses",3.2
Netherlands,2019,Percentage,"Motor coaches, buses and trolley buses",3.2
Netherlands,2020,Percentage,"Motor coaches, buses and trolley buses",2.1
Netherlands,2021,Percentage,"Motor coaches, buses and trolley buses",2.3
Netherlands,2022,Percentage,"Motor coaches, buses and trolley buses",2.9
Norway,2000,Percentage,"Motor coaches, buses and trolley buses",8.2
Norway,2001,Percentage,"Motor coaches, buses and trolley buses",6.9
Norway,2002,Percentage,"Motor coaches, buses and trolley buses",6.9
Norway,2003,Percentage,"Motor coaches, buses and trolley buses",6.6
Norway,2004,Percentage,"Motor coaches, buses and trolley buses",7.1
Norway,2005,Percentage,"Motor coaches, buses and trolley buses",7.1
Norway,2006,Percentage,"Motor coaches, buses and trolley buses",6.9
Norway,2007,Percentage,"Motor coaches, buses and trolley buses",6.7
Norway,2008,Percentage,"Motor coaches, buses and trolley buses",6.7
Norway,2009,Percentage,"Motor coaches, buses and trolley buses",6.7
Norway,2010,Percentage,"Motor coaches, buses and trolley buses",6.9
Norway,2011,Percentage,"Motor coaches, buses and trolley buses",7.0
Norway,2012,Percentage,"Motor coaches, buses and trolley buses",5.6
Norway,2013,Percentage,"Motor coaches, buses and trolley buses",5.5
Norway,2014,Percentage,"Motor coaches, buses and trolley buses",5.4
Norway,2015,Percentage,"Motor coaches, buses and trolley buses",5.7
Norway,2016,Percentage,"Motor coaches, buses and trolley buses",5.8
Norway,2017,Percentage,"Motor coaches, buses and trolley buses",6.4
Norway,2018,Percentage,"Motor coaches, buses and trolley buses",6.5
Norway,2019,Percentage,"Motor coaches, buses and trolley buses",6.9
Norway,2020,Percentage,"Motor coaches, buses and trolley buses",4.8
Norway,2021,Percentage,"Motor coaches, buses and trolley buses",4.7
Norway,2022,Percentage,"Motor coaches, buses and trolley buses",5.0
Poland,2000,Percentage,"Motor coaches, buses and trolley buses",15.4
Poland,2001,Percentage,"Motor coaches, buses and trolley buses",14.7
Poland,2002,Percentage,"Motor coaches, buses and trolley buses",13.5
Poland,2003,Percentage,"Motor coaches, buses and trolley buses",13.5
Poland,2004,Percentage,"Motor coaches, buses and trolley buses",23.6
Poland,2005,Percentage,"Motor coaches, buses and trolley buses",22.4
Poland,2006,Percentage,"Motor coaches, buses and trolley buses",10.6
Poland,2007,Percentage,"Motor coaches, buses and trolley buses",13.1
Poland,2008,Percentage,"Motor coaches, buses and trolley buses",8.4
Poland,2009,Percentage,"Motor coaches, buses and trolley buses",12.6
Poland,2010,Percentage,"Motor coaches, buses and trolley buses",16.8
Poland,2011,Percentage,"Motor coaches, buses and trolley buses",15.7
Poland,2012,Percentage,"Motor coaches, buses and trolley buses",16.0
Poland,2013,Percentage,"Motor coaches, buses and trolley buses",15.2
Poland,2014,Percentage,"Motor coaches, buses and trolley buses",15.5
Poland,2015,Percentage,"Motor coaches, buses and trolley buses",14.6
Poland,2016,Percentage,"Motor coaches, buses and trolley buses",13.7
Poland,2017,Percentage,"Motor coaches, buses and trolley buses",13.0
Poland,2018,Percentage,"Motor coaches, buses and trolley buses",12.2
Poland,2019,Percentage,"Motor coaches, buses and trolley buses",12.5
Poland,2020,Percentage,"Motor coaches, buses and trolley buses",7.5
Poland,2021,Percentage,"Motor coaches, buses and trolley buses",7.8
Poland,2022,Percentage,"Motor coaches, buses and trolley buses",9.0
Portugal,2000,Percentage,"Motor coaches, buses and trolley buses",13.6
Portugal,2001,Percentage,"Motor coaches, buses and trolley buses",12.6
Portugal,2002,Percentage,"Motor coaches, buses and trolley buses",10.9
Portugal,2003,Percentage,"Motor coaches, buses and trolley buses",11.0
Portugal,2004,Percentage,"Motor coaches, buses and trolley buses",11.1
Portugal,2005,Percentage,"Motor coaches, buses and trolley buses",6.7
Portugal,2006,Percentage,"Motor coaches, buses and trolley buses",6.3
Portugal,2007,Percentage,"Motor coaches, buses and trolley buses",6.5
Portugal,2008,Percentage,"Motor coaches, buses and trolley buses",6.4
Portugal,2009,Percentage,"Motor coaches, buses and trolley buses",6.2
Portugal,2010,Percentage,"Motor coaches, buses and trolley buses",6.5
Portugal,2011,Percentage,"Motor coaches, buses and trolley buses",5.1
Portugal,2012,Percentage,"Motor coaches, buses and trolley buses",5.3
Portugal,2013,Percentage,"Motor coaches, buses and trolley buses",5.3
Portugal,2014,Percentage,"Motor coaches, buses and trolley buses",4.8
Portugal,2015,Percentage,"Motor coaches, buses and trolley buses",5.8
Portugal,2016,Percentage,"Motor coaches, buses and trolley buses",5.3
Portugal,2017,Percentage,"Motor coaches, buses and trolley buses",6.0
Portugal,2018,Percentage,"Motor coaches, buses and trolley buses",6.3
Portugal,2019,Percentage,"Motor coaches, buses and trolley buses",6.1
Portugal,2020,Percentage,"Motor coaches, buses and trolley buses",4.2
Portugal,2021,Percentage,"Motor coaches, buses and trolley buses",5.7
Portugal,2022,Percentage,"Motor coaches, buses and trolley buses",7.6
Romania,2000,Percentage,"Motor coaches, buses and trolley buses",12.2
Romania,2001,Percentage,"Motor coaches, buses and trolley buses",12.4
Romania,2002,Percentage,"Motor coaches, buses and trolley buses",12.3
Romania,2003,Percentage,"Motor coaches, buses and trolley buses",12.8
Romania,2004,Percentage,"Motor coaches, buses and trolley buses",12.4
Romania,2005,Percentage,"Motor coaches, buses and trolley buses",14.6
Romania,2006,Percentage,"Motor coaches, buses and trolley buses",14.0
Romania,2007,Percentage,"Motor coaches, buses and trolley buses",14.0
Romania,2008,Percentage,"Motor coaches, buses and trolley buses",20.7
Romania,2009,Percentage,"Motor coaches, buses and trolley buses",13.6
Romania,2010,Percentage,"Motor coaches, buses and trolley buses",16.3
Romania,2011,Percentage,"Motor coaches, buses and trolley buses",16.2
Romania,2012,Percentage,"Motor coaches, buses and trolley buses",17.2
Romania,2013,Percentage,"Motor coaches, buses and trolley buses",16.8
Romania,2014,Percentage,"Motor coaches, buses and trolley buses",16.9
Romania,2015,Percentage,"Motor coaches, buses and trolley buses",17.6
Romania,2016,Percentage,"Motor coaches, buses and trolley buses",17.6
Romania,2017,Percentage,"Motor coaches, buses and trolley buses",17.7
Romania,2018,Percentage,"Motor coaches, buses and trolley buses",17.0
Romania,2019,Percentage,"Motor coaches, buses and trolley buses",16.9
Romania,2020,Percentage,"Motor coaches, buses and trolley buses",14.3
Romania,2021,Percentage,"Motor coaches, buses and trolley buses",13.7
Romania,2022,Percentage,"Motor coaches, buses and trolley buses",13.6
Serbia,2010,Percentage,"Motor coaches, buses and trolley buses",13.0
Serbia,2011,Percentage,"Motor coaches, buses and trolley buses",14.9
Serbia,2012,Percentage,"Motor coaches, buses and trolley buses",14.6
Serbia,2013,Percentage,"Motor coaches, buses and trolley buses",14.3
Serbia,2014,Percentage,"Motor coaches, buses and trolley buses",13.0
Serbia,2015,Percentage,"Motor coaches, buses and trolley buses",13.6
Serbia,2016,Percentage,"Motor coaches, buses and trolley buses",12.5
Serbia,2017,Percentage,"Motor coaches, buses and trolley buses",12.3
Serbia,2018,Percentage,"Motor coaches, buses and trolley buses",13.9
Serbia,2019,Percentage,"Motor coaches, buses and trolley buses",12.9
Serbia,2020,Percentage,"Motor coaches, buses and trolley buses",10.0
Serbia,2021,Percentage,"Motor coaches, buses and trolley buses",10.6
Serbia,2022,Percentage,"Motor coaches, buses and trolley buses",12.3
Sweden,2000,Percentage,"Motor coaches, buses and trolley buses",8.6
Sweden,2001,Percentage,"Motor coaches, buses and trolley buses",8.3
Sweden,2002,Percentage,"Motor coaches, buses and trolley buses",8.2
Sweden,2003,Percentage,"Motor coaches, buses and trolley buses",8.0
Sweden,2004,Percentage,"Motor coaches, buses and trolley buses",7.8
Sweden,2005,Percentage,"Motor coaches, buses and trolley buses",7.6
Sweden,2006,Percentage,"Motor coaches, buses and trolley buses",7.6
Sweden,2007,Percentage,"Motor coaches, buses and trolley buses",7.4
Sweden,2008,Percentage,"Motor coaches, buses and trolley buses",7.2
Sweden,2009,Percentage,"Motor coaches, buses and trolley buses",7.1
Sweden,2010,Percentage,"Motor coaches, buses and trolley buses",7.2
Sweden,2011,Percentage,"Motor coaches, buses and trolley buses",7.4
Sweden,2012,Percentage,"Motor coaches, buses and trolley buses",7.3
Sweden,2013,Percentage,"Motor coaches, buses and trolley buses",7.5
Sweden,2014,Percentage,"Motor coaches, buses and trolley buses",7.3
Sweden,2015,Percentage,"Motor coaches, buses and trolley buses",7.3
Sweden,2016,Percentage,"Motor coaches, buses and trolley buses",8.5
Sweden,2017,Percentage,"Motor coaches, buses and trolley buses",8.4
Sweden,2018,Percentage,"Motor coaches, buses and trolley buses",8.3
Sweden,2019,Percentage,"Motor coaches, buses and trolley buses",8.4
Sweden,2020,Percentage,"Motor coaches, buses and trolley buses",8.4
Sweden,2021,Percentage,"Motor coaches, buses and trolley buses",8.3
Sweden,2022,Percentage,"Motor coaches, buses and trolley buses",8.0
Slovenia,2000,Percentage,"Motor coaches, buses and trolley buses",14.3
Slovenia,2001,Percentage,"Motor coaches, buses and trolley buses",13.6
Slovenia,2002,Percentage,"Motor coaches, buses and trolley buses",13.2
Slovenia,2003,Percentage,"Motor coaches, buses and trolley buses",13.5
Slovenia,2004,Percentage,"Motor coaches, buses and trolley buses",12.4
Slovenia,2005,Percentage,"Motor coaches, buses and trolley buses",11.6
Slovenia,2006,Percentage,"Motor coaches, buses and trolley buses",11.4
Slovenia,2007,Percentage,"Motor coaches, buses and trolley buses",11.4
Slovenia,2008,Percentage,"Motor coaches, buses and trolley buses",10.9
Slovenia,2009,Percentage,"Motor coaches, buses and trolley buses",10.7
Slovenia,2010,Percentage,"Motor coaches, buses and trolley buses",10.8
Slovenia,2011,Percentage,"Motor coaches, buses and trolley buses",11.0
Slovenia,2012,Percentage,"Motor coaches, buses and trolley buses",11.1
Slovenia,2013,Percentage,"Motor coaches, buses and trolley buses",11.4
Slovenia,2014,Percentage,"Motor coaches, buses and trolley buses",11.6
Slovenia,2015,Percentage,"Motor coaches, buses and trolley buses",11.8
Slovenia,2016,Percentage,"Motor coaches, buses and trolley buses",11.9
Slovenia,2017,Percentage,"Motor coaches, buses and trolley buses",11.7
Slovenia,2018,Percentage,"Motor coaches, buses and trolley buses",11.7
Slovenia,2019,Percentage,"Motor coaches, buses and trolley buses",11.6
Slovenia,2020,Percentage,"Motor coaches, buses and trolley buses",8.6
Slovenia,2021,Percentage,"Motor coaches, buses and trolley buses",9.5
Slovenia,2022,Percentage,"Motor coaches, buses and trolley buses",11.6
Slovakia,2000,Percentage,"Motor coaches, buses and trolley buses",27.8
Slovakia,2001,Percentage,"Motor coaches, buses and trolley buses",27.8
Slovakia,2002,Percentage,"Motor coaches, buses and trolley buses",26.0
Slovakia,2003,Percentage,"Motor coaches, buses and trolley buses",24.8
Slovakia,2004,Percentage,"Motor coaches, buses and trolley buses",26.2
Slovakia,2005,Percentage,"Motor coaches, buses and trolley buses",24.8
Slovakia,2006,Percentage,"Motor coaches, buses and trolley buses",23.3
Slovakia,2007,Percentage,"Motor coaches, buses and trolley buses",22.0
Slovakia,2008,Percentage,"Motor coaches, buses and trolley buses",20.3
Slovakia,2009,Percentage,"Motor coaches, buses and trolley buses",16.1
Slovakia,2010,Percentage,"Motor coaches, buses and trolley buses",15.5
Slovakia,2011,Percentage,"Motor coaches, buses and trolley buses",15.6
Slovakia,2012,Percentage,"Motor coaches, buses and trolley buses",15.1
Slovakia,2013,Percentage,"Motor coaches, buses and trolley buses",14.7
Slovakia,2014,Percentage,"Motor coaches, buses and trolley buses",15.1
Slovakia,2015,Percentage,"Motor coaches, buses and trolley buses",15.8
Slovakia,2016,Percentage,"Motor coaches, buses and trolley buses",16.0
Slovakia,2017,Percentage,"Motor coaches, buses and trolley buses",14.4
Slovakia,2018,Percentage,"Motor coaches, buses and trolley buses",14.1
Slovakia,2019,Percentage,"Motor coaches, buses and trolley buses",13.8
Slovakia,2020,Percentage,"Motor coaches, buses and trolley buses",11.9
Slovakia,2021,Percentage,"Motor coaches, buses and trolley buses",10.6
Slovakia,2022,Percentage,"Motor coaches, buses and trolley buses",12.2
Türkiye,2000,Percentage,"Motor coaches, buses and trolley buses",50.7
Türkiye,2001,Percentage,"Motor coaches, buses and trolley buses",47.0
Türkiye,2002,Percentage,"Motor coaches, buses and trolley buses",47.8
Türkiye,2003,Percentage,"Motor coaches, buses and trolley buses",47.4
Türkiye,2004,Percentage,"Motor coaches, buses and trolley buses",45.9
Türkiye,2005,Percentage,"Motor coaches, buses and trolley buses",45.0
Türkiye,2006,Percentage,"Motor coaches, buses and trolley buses",43.4
Türkiye,2007,Percentage,"Motor coaches, buses and trolley buses",42.4
Türkiye,2008,Percentage,"Motor coaches, buses and trolley buses",41.3
Türkiye,2009,Percentage,"Motor coaches, buses and trolley buses",40.6
Türkiye,2010,Percentage,"Motor coaches, buses and trolley buses",38.3
Türkiye,2011,Percentage,"Motor coaches, buses and trolley buses",38.7
Türkiye,2012,Percentage,"Motor coaches, buses and trolley buses",36.9
Türkiye,2013,Percentage,"Motor coaches, buses and trolley buses",35.0
Türkiye,2014,Percentage,"Motor coaches, buses and trolley buses",33.6
Türkiye,2015,Percentage,"Motor coaches, buses and trolley buses",30.9
Türkiye,2016,Percentage,"Motor coaches, buses and trolley buses",28.6
Türkiye,2017,Percentage,"Motor coaches, buses and trolley buses",28.3
Türkiye,2018,Percentage,"Motor coaches, buses and trolley buses",29.9
Türkiye,2019,Percentage,"Motor coaches, buses and trolley buses",28.8
Türkiye,2020,Percentage,"Motor coaches, buses and trolley buses",25.4
Türkiye,2021,Percentage,"Motor coaches, buses and trolley buses",23.9
Türkiye,2022,Percentage,"Motor coaches, buses and trolley buses",27.0
United Kingdom,2000,Percentage,"Motor coaches, buses and trolley buses",6.5
United Kingdom,2001,Percentage,"Motor coaches, buses and trolley buses",6.3
